번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),업무구분명,상세업무구분명,권리주체일련번호,총직원수
11,동물약국,02_03_02_P,3490000,3.49E+17,20050704,,4,취소/말소/만료/정지/중지,4,말소,,,,,,60,,인천광역시 중구 신포동 1-5번지 신포시장입구,"인천광역시 중구 우현로 47 (신포동,신포시장입구)",,정다운 온누리 약국,2.01707E+13,I,59:59.0,,167047.2777,441107.2543,동물약국,,0,
12,동물약국,02_03_02_P,4060000,4.06E+17,20150818,,4,취소/말소/만료/정지/중지,4,말소,,,,,031-815-9432,0,,,경기도 파주시 가람로 49 (와동동),10870,하나약국,2.01508E+13,I,59:59.0,,178457.2507,470561.7296,동물약국,,0,
13,동물약국,02_03_02_P,4000000,4E+17,20170111,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,경기도 오산시 오산동 861-18번지,"경기도 오산시 시장길 6-1 (오산동, 한진빌딩)",18136,행복 드림 약국,2.01703E+13,I,59:59.0,,206093.0595,405313.9,동물약국,,0,
14,동물약국,02_03_02_P,4060000,4.06E+17,20160530,,4,취소/말소/만료/정지/중지,4,말소,,,,,031-949-9633,0,,경기도 파주시 동패동 1701번지,"경기도 파주시 책향기로 423, 1층 113호 (동패동, 두손비채상가)",10874,교하봄약국,2.01605E+13,I,59:59.0,,175148.615,469198.4847,동물약국,,0,
15,동물약국,02_03_02_P,4060000,4.06E+17,20160718,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,경기도 파주시 문산읍 문산리 10-7번지,경기도 파주시 문산읍 문산로 46-1 (동일약국),10823,동일약국,2.01607E+13,I,59:59.0,,180972.0639,483896.8274,동물약국,,0,
16,동물약국,02_03_02_P,4050000,5.63E+17,20190716,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,경기도 용인시 기흥구 상하동 351번지,"경기도 용인시 기흥구 중부대로 682, 1층 (상하동)",17070,용인하나로약국,2.01907E+13,I,21:40.0,,211994.9161,418246.4898,동물약국,,0,
17,동물약국,02_03_02_P,3490000,3.49E+17,20190710,,4,취소/말소/만료/정지/중지,4,말소,,,,,032-777-2812,0,,인천광역시 중구 운남동 1524번지 허브빌딩,"인천광역시 중구 운남로 167, 허브빌딩 101호 (운남동)",22372,하늘약국,2.01907E+13,I,21:44.0,,158622.97,443481.5214,동물약국,,0,
18,동물약국,02_03_02_P,5160000,5.16E+17,20151231,,4,취소/말소/만료/정지/중지,4,말소,,,,,054-872-3077,0,,경상북도 청송군 진보면 진안리 423-7번지,경상북도 청송군 진보면 진보로 108,37409,진보동산약국,2.01701E+13,I,59:59.0,,382925.6996,338374.8241,동물약국,,0,
19,동물약국,02_03_02_P,5220000,5.22E+17,20180302,,4,취소/말소/만료/정지/중지,4,말소,20180302,,,,,0,,경상북도 칠곡군 북삼읍 인평리 1094-1번지,경상북도 칠곡군 북삼읍 금오대로 262,39814,엄마손약국,2.01803E+13,I,59:59.0,,321256.8528,286207.8899,동물약국,,0,
20,동물약국,02_03_02_P,3520000,3.52E+17,20160705,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,인천광역시 연수구 송도동 20-14번지 플러스원프라자 107호,"인천광역시 연수구 신송로 166, 107호 (송도동, 플러스원프라자)",22001,플러스약국,2.01903E+13,U,40:00.0,,168804.0818,432984.777,동물약국,,0,
21,동물약국,02_03_02_P,3520000,3.52E+17,20180702,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,인천광역시 연수구 송도동 201-2번지 삼성바이오로직스,"인천광역시 연수구 송도바이오대로 300, 삼성바이오로직스 3층 (송도동)",21987,송도바이오약국,2.01807E+13,I,59:59.0,,169819.3014,429468.486,동물약국,,0,
22,동물약국,02_03_02_P,4670000,4.67E+17,20201110,,4,취소/말소/만료/정지/중지,4,말소,,,,,442-3375,0,,,전라북도 군산시 경촌안3길 15 (조촌동),54033,제일약국,2.02011E+13,U,40:00.0,,176184.0891,275350.9738,동물약국,,0,
23,동물약국,02_03_02_P,4800000,4.8E+17,20190704,,4,취소/말소/만료/정지/중지,4,말소,,,,,2830008,0,,전라남도 목포시 옥암동 1028번지 부영아파트,"전라남도 목포시 부흥로 86, 부영아파트 (옥암동)",58687,메디팜 현대약국,2.01909E+13,U,40:00.0,,147906.1022,145112.4653,동물약국,,0,
24,동물약국,02_03_02_P,4420000,4.42E+17,20191014,,4,취소/말소/만료/정지/중지,4,말소,,,,,043-542-5333,0,,충청북도 보은군 보은읍 삼산리 143-1번지,충청북도 보은군 보은읍 삼산로 20,28948,보은중앙약국,2.02006E+13,U,40:00.0,,264417.939,331721.2089,동물약국,,0,
25,동물약국,02_03_02_P,3720000,3.72E+17,20140718,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,울산광역시 북구 천곡동 418-16번지,울산광역시 북구 가재길 87 (천곡동),44202,건우약국,2.01407E+13,I,59:59.0,,411208.0252,239659.2979,동물약국,,0,
26,동물약국,02_03_02_P,3720000,3.72E+17,20170613,,4,취소/말소/만료/정지/중지,4,말소,,,,,052-286-5507,0,,,울산광역시 북구 호계로 222 (호계동),44229,농소금강산약국,2.01709E+13,I,59:59.0,,413250.5359,238548.1236,동물약국,,0,
27,동물약국,02_03_02_P,3510500,3.51E+17,20170526,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,인천광역시 미추홀구 주안동 1462-18번지,인천광역시 미추홀구 인하로 275 (주안동),22215,신기시장약국,2.01711E+13,I,59:59.0,,171497.9611,438514.2304,동물약국,,0,
28,동물약국,02_03_02_P,4820000,4.82E+17,19861112,,4,취소/말소/만료/정지/중지,4,말소,,,,,061-741-6084,0,,전라남도 순천시 장천동 85-12번지,,,대우당약국,2.02004E+13,U,40:00.0,,244693.0768,161080.2608,동물약국,,0,
29,동물약국,02_03_02_P,4900000,4.9E+17,20160718,,4,취소/말소/만료/정지/중지,4,말소,,,,,061-374-6635,0,,전라남도 화순군 화순읍 광덕리 181번지,전라남도 화순군 화순읍 충의로 107,58124,조은약국,2.01608E+13,I,59:59.0,,198967.1763,172985.3837,동물약국,,0,
30,동물약국,02_03_02_P,3190000,3.19E+17,20191223,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,서울특별시 동작구 사당동 1046-13번지,서울특별시 동작구 남부순환로 2059 (사당동),7024,평화약국,2.01912E+13,I,23:26.0,,197939.7974,441638.2737,동물약국,,0,
31,동물약국,02_03_02_P,3640000,3.64E+17,20170623,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,대전광역시 동구 원동 49-1번지,대전광역시 동구 대전로779번길 7 (원동),34628,유림약국,2.01706E+13,I,59:59.0,,238839.254,314353.6584,동물약국,,0,
32,동물약국,02_03_02_P,4190000,4.19E+17,20170810,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,강원도 원주시 무실동 1857-6번지,강원도 원주시 능라동길 61 (무실동),26392,화신약국,2.01807E+13,I,59:59.0,,282457.5618,426197.2624,동물약국,,0,
33,동물약국,02_03_02_P,4420000,4.42E+17,20200414,,4,취소/말소/만료/정지/중지,4,말소,,,,,043-542-5333,0,,충청북도 보은군 보은읍 삼산리 143-1번지,"충청북도 보은군 보은읍 삼산로 20, 1층",28948,보은중앙약국,2.02006E+13,U,40:00.0,,264417.939,331721.2089,동물약국,,0,
34,동물약국,02_03_02_P,3130000,3.13E+17,20200614,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,서울특별시 마포구 합정동 364-28번지,"서울특별시 마포구 독막로 14, 1층 (합정동)",4072,합정365약국,2.02006E+13,U,40:00.0,,192412.3851,449581.5931,동물약국,,0,
35,동물약국,02_03_02_P,3300000,3.3E+17,20200508,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,부산광역시 동래구 명륜동 637-5,"부산광역시 동래구 명륜로 161, 네오앤 바하 102호 (명륜동)",47743,힘찬약국,2.02105E+13,U,40:00.0,,389506.4019,191874.1268,동물약국,,0,
36,동물약국,02_03_02_P,5050000,5.05E+17,20200507,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,경상북도 경주시 동부동 8-4번지,경상북도 경주시 화랑로 109-1 (동부동),38145,삼성당약국,2.02005E+13,I,23:20.0,,399858.4288,262774.8729,동물약국,,0,
37,동물약국,02_03_02_P,5170000,5.17E+17,20200512,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,경상북도 영양군 영양읍 서부리 100-2 명성약국,"경상북도 영양군 영양읍 동서대로 76-1, 명성약국",36540,명성약국,2.02007E+13,U,40:00.0,,389240.9692,353301.7532,동물약국,,0,
38,동물약국,02_03_02_P,5360000,5.36E+17,20021129,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,경상남도 밀양시 삼랑진읍 송지리 156번지,경상남도 밀양시 삼랑진읍 천태로 71-1,50467,행운약국,2.01405E+13,I,59:59.0,,367347.5357,212711.6516,동물약국,,0,
39,동물약국,02_03_02_P,4330000,4.33E+17,19811026,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,강원도 인제군 기린면 현리 412-3번지 1통3반,강원도 인제군 기린면 기린로 44,24660,기린약방,2.01609E+13,I,59:59.0,,315775.6975,495625.1184,동물약국,,0,
40,동물약국,02_03_02_P,3550000,3.55E+17,20060510,,4,취소/말소/만료/정지/중지,4,말소,,,,,"540-2111,555-6089",0,,인천광역시 계양구 계산동 1059-1번지,인천광역시 계양구 장제로 822 (계산동),,그랜드약국,2.01509E+13,I,59:59.0,,176599.8163,448767.4272,동물약국,,0,
41,동물약국,02_03_02_P,5170000,5.17E+17,20200721,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,경상북도 영양군 영양읍 서부리 100-2 명성약국,"경상북도 영양군 영양읍 동서대로 76-1, 명성약국",36540,명성양국,2.02007E+13,I,23:33.0,,389240.9692,353301.7532,동물약국,,0,
42,동물약국,02_03_02_P,4690000,4.69E+17,20200730,,4,취소/말소/만료/정지/중지,4,말소,,,,,063-531-4222,0,,전라북도 정읍시 수성동 533-1 세계로약국중앙점,"전라북도 정읍시 남북로 48, 세계로약국중앙점 (수성동)",56163,세계로약국,2.02207E+13,U,40:00.0,,186486.1056,229942.7822,동물약국,,0,0
43,동물약국,02_03_02_P,3330000,3.33E+17,20210812,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,부산광역시 해운대구 재송동 1130-16,"부산광역시 해운대구 재반로 116, 102호 (재송동)",48053,이레약국,2.02108E+13,U,40:00.0,,393652.1711,189788.1438,동물약국,,0,0
44,동물약국,02_03_02_P,5050000,5.05E+17,20210623,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,경상북도 경주시 시래동 367-2,경상북도 경주시 산업로 3014-5 (시래동),38129,새서울약국,2.02106E+13,I,22:54.0,,407932.5682,255289.3435,동물약국,,0,
45,동물약국,02_03_02_P,5380000,5.38E+17,20131220,,4,취소/말소/만료/정지/중지,4,말소,,,,,553644368,0,,경상남도 양산시 삼호동 1009-1번지,경상남도 양산시 삼호로 191 (삼호동),50529,튼튼약국,2.0151E+13,I,59:59.0,,397037.1818,214907.0079,동물약국,,0,
46,동물약국,02_03_02_P,4290000,4.29E+17,20151012,,4,취소/말소/만료/정지/중지,4,말소,,,,,335924544,0,,강원도 정선군 사북읍 사북리 369-12번지,강원도 정선군 사북읍 사북중앙로 33-1,26153,명도 온누리 약국,2.0151E+13,I,59:59.0,,361327.5949,415470.0418,동물약국,,0,
47,동물약국,02_03_02_P,3940000,3.94E+17,20130716,,4,취소/말소/만료/정지/중지,4,말소,,,,,031-907-1804,0,,경기도 고양시 일산동구 마두동 802-1번지 일산그랜드플라자 510호,경기도 고양시 일산동구 중앙로 1172 (마두동),410811,일산나을약국,2.01401E+13,I,59:59.0,,180377.3768,461063.0258,동물약국,,0,
48,동물약국,02_03_02_P,3980000,3.98E+17,20130909,,4,취소/말소/만료/정지/중지,4,말소,,,,,031-554-0639,0,,경기도 구리시 수택동 850-2번지,,,코끼리약국,2.0131E+13,I,59:59.0,,212289.6236,454419.5947,동물약국,,0,
49,동물약국,02_03_02_P,3120000,3.12E+17,20201019,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,서울특별시 서대문구 홍은동 464 북한산 더샵,"서울특별시 서대문구 통일로 510, 상가동 1층 (홍은동, 북한산 더샵)",3615,레몬약국,2.0201E+13,I,23:19.0,,194748.2231,454560.085,동물약국,,0,
50,동물약국,02_03_02_P,5050000,5.05E+17,20210329,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,경상북도 경주시 외동읍 모화리 1854 경주외동사랑으로부영2단지 101호,"경상북도 경주시 외동읍 산업로 1767, 101호 (경주외동사랑으로부영2단지)",38208,부경약국,2.02106E+13,U,40:00.0,,,,동물약국,,0,
51,동물약국,02_03_02_P,4670000,4.67E+17,20210222,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,전라북도 군산시 경암동 680-4 성가의원,"전라북도 군산시 백릉로 43, 성가의원 (경암동)",54036,다나약국,2.02102E+13,I,23:01.0,,175640.0672,275050.7401,동물약국,,0,
52,동물약국,02_03_02_P,3120000,3.12E+17,20210405,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,서울특별시 서대문구 북가좌동 3-36,"서울특별시 서대문구 증가로20가길 89, 1층 (북가좌동)",3671,혜성약국,2.02104E+13,I,22:58.0,,192816.6988,453349.9358,동물약국,,0,
53,동물약국,02_03_02_P,3190000,3.19E+17,20210630,,4,취소/말소/만료/정지/중지,4,말소,,,,,,85.36,,서울특별시 동작구 흑석동 183-21,"서울특별시 동작구 흑석로 108, 1~2층 (흑석동)",6972,씨에이(CA)정문약국,2.02106E+13,I,23:01.0,,196512.4362,445092.515,동물약국,,0,
54,동물약국,02_03_02_P,4340000,4.34E+17,20030407,,4,취소/말소/만료/정지/중지,4,말소,20121002,,,,,0,,강원도 고성군 거진읍 거진리 215-4번지,강원도 고성군 거진읍 태봉5길 23,24711,중앙약국,2.0151E+13,I,59:59.0,,326694.995,550752.4134,동물약국,,0,
55,동물약국,02_03_02_P,3780000,3.78E+17,20151022,,4,취소/말소/만료/정지/중지,4,말소,,,,,,0,,경기도 성남시 수정구 태평동 3307-16번지,경기도 성남시 수정구 남문로112번길 6 (태평동),13289,팔마약국,2.0151E+13,I,59:59.0,,212233.346,438330.5446,동물약국,,0,
56,동물약국,02_03_02_P,4160000,4.16E+17,20070628,,4,취소/말소/만료/정지/중지,4,말소,,,,,581-8362,49.5,,경기도 가평군 가평읍 대곡리 189-3번지,,,연인산약국,2.01609E+13,I,59:59.0,,245315.4995,480294.9282,동물약국,,0,
57,동물약국,02_03_02_P,4160000,4.16E+17,20120229,,4,취소/말소/만료/정지/중지,4,말소,,,,,582-6904,0,,경기도 가평군 가평읍 대곡리 166-1번지,경기도 가평군 가평읍 가화로 55-12,12420,이화온누리약국,2.01604E+13,I,59:59.0,,245272.3992,480386.6023,동물약국,,0,
58,동물약국,02_03_02_P,4160000,4.16E+17,20180419,,4,취소/말소/만료/정지/중지,4,말소,,,,,315825661,51.1,,경기도 가평군 가평읍 읍내리 624-13 우림약국,"경기도 가평군 가평읍 가화로 155-19, 우림약국",12413,우림약국,2.02209E+13,U,40:00.0,,244879.1689,481274.8679,동물약국,,0,0
59,동물약국,02_03_02_P,3620000,3.62E+17,20040330,,1,영업/정상,0,정상,,,,,062-267-5755,0,,광주광역시 북구 오치동 862-22번지,광주광역시 북구 서하로 187 (오치동),61055,뷰티온누리약국,2.01211E+13,I,59:59.0,,190911.6877,187580.1799,동물약국,,0,
60,동물약국,02_03_02_P,3620000,3.62E+17,20130617,,1,영업/정상,0,정상,,,,,261-5627,,,광주광역시 북구 문흥동 938-1번지,광주광역시 북구 면앙로32번길 1 (문흥동),61188,21세기건강약국,2.01306E+13,I,59:59.0,,192260.5979,186694.581,동물약국,,0,
61,동물약국,02_03_02_P,3620000,3.62E+17,20120703,,1,영업/정상,0,정상,,,,,070-4227-0070,0,,광주광역시 북구 신용동 733번지,광주광역시 북구 첨단연신로 97-0 (신용동),61087,광주동물약국,2.01609E+13,I,59:59.0,,187543.4878,189718.5067,동물약국,,0,
62,동물약국,02_03_02_P,3620000,3.62E+17,20130412,,1,영업/정상,0,정상,,,,,574-0022,,,광주광역시 북구 양산동 660-102번지,광주광역시 북구 양일로 73-1 (양산동),61083,조은온누리약국,2.01304E+13,I,59:59.0,,188363.4323,188765.634,동물약국,,0,
63,동물약국,02_03_02_P,3620000,3.62E+17,20130523,,1,영업/정상,0,정상,,,,,512-1127,,,광주광역시 북구 용봉동 1224-7번지,광주광역시 북구 용주로30번길 10 (용봉동),61181,하나약국,2.01305E+13,I,59:59.0,,190942.2403,186908.545,동물약국,,0,
64,동물약국,02_03_02_P,3620000,3.62E+17,20130531,,1,영업/정상,0,정상,,,,,261-6038,,,광주광역시 북구 두암동 968-1번지,"광주광역시 북구 삼정로 7, 106호 (두암동, 주공2단지상가)",61161,한샘약국,2.01305E+13,I,59:59.0,,194075.2441,184984.4186,동물약국,,0,
65,동물약국,02_03_02_P,3450000,3.45E+17,20130719,,1,영업/정상,0,정상,,,,,951-8488,,,대구광역시 북구 태전동 1107번지,대구광역시 북구 학정로 38 (태전동),41471,매천동물약국,2.01307E+13,I,59:59.0,,339558.5721,269213.0987,동물약국,,0,
66,동물약국,02_03_02_P,3450000,3.45E+17,20110421,,1,영업/정상,0,정상,,,,,325-7012,0,,대구광역시 북구 동천동 931-5번지,대구광역시 북구 대천로 93 (동천동),41427,건강드림약국,2.01307E+13,I,59:59.0,,340652.1379,271885.7134,동물약국,,0,
67,동물약국,02_03_02_P,3450000,3.45E+17,20130306,,1,영업/정상,0,정상,,,,,053-359-1999,0,,대구광역시 북구 칠성동2가 127 성광우방타운 126동 110호,"대구광역시 북구 호암로 20, 126동 110호 (칠성동2가, 성광우방타운)",41586,박약국,2.02202E+13,U,40:00.0,,343728.419,265773.3143,동물약국,,0,0
68,동물약국,02_03_02_P,3450000,3.45E+17,20130719,,1,영업/정상,0,정상,,,,,053-801-0787,0,,대구광역시 북구 칠성동2가 369-1,대구광역시 북구 중앙대로 528(칠성동2가),41579,해오름약국,2.02107E+13,U,40:00.0,,344094.2072,265574.9627,동물약국,,0,
69,동물약국,02_03_02_P,3450000,3.45E+17,20130720,,1,영업/정상,0,정상,,,,,053-763-1624,0,,대구광역시 북구 학정동 976,대구광역시 북구 학정동로 47 (학정동),41417,학정동물약국,2.02202E+13,U,40:00.0,,341331.5368,273108.0347,동물약국,,0,0
70,동물약국,02_03_02_P,3450000,3.45E+17,20130726,,1,영업/정상,0,정상,,,,,322-8998,,,대구광역시 북구 태전동 1003-3번지,대구광역시 북구 칠곡중앙대로 386-1 (태전동),41460,칠곡경북 동물약국,2.01307E+13,I,59:59.0,,339658.985,271098.4852,동물약국,,0,
71,동물약국,02_03_02_P,3450000,3.45E+17,20130726,,1,영업/정상,0,정상,,,,,325-0066,,,대구광역시 북구 동천동 895-1번지,대구광역시 북구 동암로 96 (동천동),41423,세미동물약국,2.01307E+13,I,59:59.0,,340809.9092,272661.4173,동물약국,,0,
72,동물약국,02_03_02_P,3450000,3.45E+17,20130726,,1,영업/정상,0,정상,,,,,312-8623,,,대구광역시 북구 읍내동 1346번지,대구광역시 북구 구암로15길 22 (읍내동),41438,구주약국,2.01307E+13,I,59:59.0,,339781.9273,271574.8274,동물약국,,0,
73,동물약국,02_03_02_P,3450000,3.45E+17,20130712,,1,영업/정상,0,정상,,,,,322-9954,,,대구광역시 북구 읍내동 803-2번지,대구광역시 북구 동암로 6 (읍내동),41433,칠곡우리약국,2.01307E+13,I,59:59.0,,339977.7312,272948.0586,동물약국,,0,
74,동물약국,02_03_02_P,3450000,3.45E+17,20130715,,1,영업/정상,0,정상,,,,,312-3525,,,대구광역시 북구 태전동 422-16번지,대구광역시 북구 칠곡중앙대로 302 (태전동),41462,태전동물약국,2.01307E+13,I,59:59.0,,339574.5501,270253.8235,동물약국,,0,
75,동물약국,02_03_02_P,3450000,3.45E+17,20130726,,1,영업/정상,0,정상,,,,,255-0393,,,대구광역시 북구 침산동 145-34번지,대구광역시 북구 침산남로 176 (침산동),41584,홍제약국,2.01307E+13,I,59:59.0,,343937.4233,266383.9045,동물약국,,0,
76,동물약국,02_03_02_P,3450000,3.45E+17,20130719,,1,영업/정상,0,정상,,,,,956-8481,0,,대구광역시 북구 복현동 479-3,대구광역시 북구 동북로 288 (복현동),41564,메디팜 일선약국,2.02202E+13,U,40:00.0,,346320.395,267013.9473,동물약국,,0,0
77,동물약국,02_03_02_P,3450000,3.45E+17,20130719,,1,영업/정상,0,정상,,,,,422-4705,,,대구광역시 북구 칠성동2가 350-4번지,대구광역시 북구 칠성로 59 (칠성동2가),41579,사랑플러스 동물약국,2.01307E+13,I,59:59.0,,344085.0688,265518.1078,동물약국,,0,
78,동물약국,02_03_02_P,3450000,3.45E+17,20130719,,1,영업/정상,0,정상,,,,,321-8686,,,대구광역시 북구 관음동 1284-3번지,대구광역시 북구 관음중앙로28길 7 (관음동),41441,동물사랑약국,2.01307E+13,I,59:59.0,,339531.6883,272677.9417,동물약국,,0,
79,동물약국,02_03_02_P,3450000,3.45E+17,20130719,,1,영업/정상,0,정상,,,,,311-8025,,,대구광역시 북구 동천동 934-5번지,대구광역시 북구 대천로 94 (동천동),41430,칠곡사랑약국,2.01307E+13,I,59:59.0,,340643.8634,271827.8641,동물약국,,0,
80,동물약국,02_03_02_P,3450000,3.45E+17,20130726,,1,영업/정상,0,정상,,,,,321-0147,,,대구광역시 북구 태전동 973-3번지,대구광역시 북구 칠곡중앙대로 349 (태전동),41452,녹색동물약국,2.01307E+13,I,59:59.0,,339562.4098,270732.6911,동물약국,,0,
81,동물약국,02_03_02_P,3450000,3.45E+17,20130726,,1,영업/정상,0,정상,,,,,325-2888,,,대구광역시 북구 읍내동 1343-2번지,대구광역시 북구 칠곡중앙대로 428 (읍내동),41438,한솔약국,2.01307E+13,I,59:59.0,,339708.0516,271505.1644,동물약국,,0,
82,동물약국,02_03_02_P,3450000,3.45E+17,20130726,,1,영업/정상,0,정상,,,,,351-7178,,,대구광역시 북구 노원동3가 781번지,대구광역시 북구 팔달로 175 (노원동3가),41557,우람동물약국,2.01307E+13,I,59:59.0,,341653.9198,266511.4992,동물약국,,0,
83,동물약국,02_03_02_P,3450000,3.45E+17,20150216,,1,영업/정상,0,정상,,,,,053-321-7275,0,,대구광역시 북구 사수동 955,"대구광역시 북구 한강로6길 14-1, 103호 (사수동)",41492,금호사수동물약국,2.02202E+13,U,40:00.0,,336707.7602,267263.7258,동물약국,,0,0
84,동물약국,02_03_02_P,3450000,3.45E+17,20150309,,1,영업/정상,0,정상,,,,,053-953-3780,,,대구광역시 북구 서변동 1746-5번지,대구광역시 북구 호국로43길 26 (서변동),41477,서변제일약국,2.01503E+13,I,59:59.0,,344019.3193,270148.2695,동물약국,,0,
85,동물약국,02_03_02_P,3450000,3.45E+17,20150529,,1,영업/정상,0,정상,,,,,053-954-7303,,,대구광역시 북구 산격동 1413-15번지,대구광역시 북구 산격로 24 (산격동),41544,대도약국,2.01505E+13,I,59:59.0,,344900.8634,266996.085,동물약국,,0,
86,동물약국,02_03_02_P,3450000,3.45E+17,20180227,,1,영업/정상,0,정상,,,,,053-232-7169,28,,대구광역시 북구 읍내동 1381-20,"대구광역시 북구 구암로 97, 1층 (읍내동)",41438,친한약국,2.02202E+13,U,40:00.0,,339923.8633,271360.2183,동물약국,,0,0
87,동물약국,02_03_02_P,3450000,3.45E+17,20180228,,1,영업/정상,0,정상,,,,,053-322-9909,28,,대구광역시 북구 동천동 952-4번지 대구보건대학교부설 대구보건대학교병원,"대구광역시 북구 팔거천동로 209, 1층 (동천동)",41422,보건정문약국,2.01802E+13,I,59:59.0,,340481.2263,272505.3669,동물약국,,0,
