연번,병원명,주소,개설일,병원연락처,출장진료 전문병원 해당 여부,반려동물,소,돼지,가금,사슴,말,양-염소,꿀벌,수생동물,야생동물,기타
16,분평종합동물병원,충청북도 청주시 서원구 서원구 청남로 2013 (분평동),2001-10-20,043-288-8575,N,Y,N,N,N,N,N,N,N,N,N,N
17,수 동물병원,충청북도 청주시 서원구  모충로3번길 81 (개신동 한진아파트 상가 110호),2008-09-02,043-275-8275,N,Y,N,N,N,N,N,N,N,N,N,N
18,산남동물병원,충청북도 청주시 서원구  산남로 64 104호 (산남동앤젤변호사빌딩),2009-07-21,043-294-8275,N,Y,N,N,N,N,N,N,N,N,N,N
19,충북대학교 동물의료센터,충청북도 청주시 서원구 충대로 1 (개신동),2010-09-30,043-261-2602,N,Y,Y,N,Y,N,N,N,N,N,N,N
20,에이스동물병원,충청북도 청주시 서원구  복대로 11 (개신동),2011-02-28,043-238-0055,N,Y,N,N,N,N,N,N,N,N,N,N
21,세솔동물병원,충청북도 청주시 서원구 산남로 77 101호 (산남동),2011-03-04,043-294-7582,N,Y,N,N,N,N,N,N,N,N,N,N
22,고려동물메디컬센터,충청북도 청주시 서원구 사직대로 246 (사직동),2013-07-05,043-268-5677,N,Y,N,N,N,N,N,N,N,N,N,N
23,청주24동물병원,충청북도 청주시 서원구  사직대로 256 (사직동),2016-11-04,043-267-4119,N,Y,N,N,N,N,N,N,N,N,N,N
24,강내동물병원,충청북도 청주시 흥덕구 강내면 가로수로540-1,1978-07-24,043-233-2145,Y,Y,Y,N,N,N,N,N,N,N,N,N
25,우리동물병원,충청북도 청주시 흥덕구 옥산면 옥산시내1길 29,1992-12-04,043-260-1684,Y,Y,Y,N,N,N,N,Y,N,N,N,N
26,충북동물병원,충청북도 청주시 흥덕구 사직대로 18(복대동),1994-01-18,043-271-7348,N,Y,N,N,N,N,N,N,N,N,N,N
27,블루동물종합병원,충청북도 청주시 흥덕구 풍산로 33번길4(가경동),1998-03-21,043-235-0094,N,Y,N,N,N,N,N,N,N,N,N,N
28,서원동물병원,충청북도 청주시 흥덕구 가로수로 1358(복대동),2000-09-01,043-231-6972,N,Y,N,N,N,N,N,N,N,N,N,N
29,도담이네동물병원,충청북도 청주시 흥덕구 풍년로 82(가경동),2001-11-15,043-236-0175,N,Y,N,N,N,N,N,N,N,N,N,N
30,행복한동물병원,충청북도 청주시 흥덕구 복대로 136(복대동),2002-01-05,043-233-7582,N,Y,N,N,N,N,N,N,N,N,N,N
31,캣앤독동물병원,충청북도 청주시 흥덕구 풍산로 59(가경동),2005-03-11,043-237-7852,N,Y,N,N,N,N,N,N,N,N,N,N
32,새론동물병원,충청북도 청주시 흥덕구 1순환로 539(봉명동),2008-02-05,043-260-8275,N,Y,N,N,N,N,N,N,N,N,N,N
33,동물병원 이야기,충청북도 청주시 흥덕구 직지대로 622(봉명동),2011-05-09,043-904-2606,N,Y,N,N,N,N,N,N,N,N,N,N
34,아인동물의료센터,충청북도 청주시 흥덕구 진재로 41(복대동 풍년빌딩),2012-11-07,043-232-7580,N,Y,N,N,N,N,N,N,N,N,N,N
35,㈜옵티팜,충청북도 청주시 흥덕구 오송읍 오송생명6로 63,2012-03-28,043-249-7500,N,Y,N,Y,N,N,N,N,N,N,N,Y
36,강서동물병원,충청북도 청주시 흥덕구 비하로 64(비하동),2013-11-19,043-233-7512,N,Y,N,N,N,N,N,N,N,N,N,N
37,훈동물병원,충청북도 청주시 흥덕구 오송읍 연제길 97,2015-01-27,043-238-9969,Y,Y,N,N,N,N,N,N,N,N,N,Y
38,청주지웰동물병원,충청북도 청주시 흥덕구 대농로 70 104호(복대동 센트럴타워),2018-03-23,043-239-7575,N,Y,N,N,N,N,N,N,N,N,N,N
39,으뜸대동물병원,충청북도 청주시 흥덕구 오송읍 오송2길 8,2016-04-07,,Y,Y,N,N,N,N,N,N,N,N,N,N
40,청주시 반려동물보호센터,충청북도 청주시 흥덕구 강내면 서부로 411-55,2018-08-29,043-231-0047,N,Y,N,N,N,N,N,N,N,N,N,N
41,한샘동물병원,충청북도 청주시 흥덕구 2순환로 1261번길 4(가경동),2017-04-14,043-267-7582,N,Y,N,N,N,N,N,N,N,N,N,N
42,신동물병원,충청북도 청주시 흥덕구 오송읍 상정1길103-2,2020-08-10,,Y,Y,Y,N,N,N,N,N,N,N,N,N
43,가경나음동물병원,충청북도 청주시 흥덕구 서현로90(가경동),2020-09-02,043-236-7975,N,Y,N,N,N,N,N,N,N,N,N,N
44,정동물병원,충청북도 청주시 청원구 충청대로 97 (율량동),2018-05-16,043-256-2551,N,Y,N,N,N,N,N,N,N,N,N,N
45,오창동물병원,충청북도 청주시 청원구 오창읍 장대리 294 ,1980-02-07,043-217-2069,Y,Y,Y,N,N,N,N,N,N,N,N,N
46,서울동물병원,충청북도 청주시 청원구 오창읍 장대리 294,1984-07-27,043-217-9721,Y,Y,Y,N,N,N,N,N,N,N,N,Y
47,소망종합동물병원,충청북도 청주시 청원구 공항로 100-1 (율량동),1997-05-09,043-212-7582,N,Y,N,N,N,N,N,N,N,N,N,Y
48,청주축협동물병원,충청북도 청주시 청원구 우암동 378-7,1997-08-22,043-255-7284,Y,Y,Y,N,N,N,N,N,N,N,N,N
49,정성환동물병원,충청북도 청주시 청원구 상당로 297 (내덕동),1998-08-03,043-216-8274,N,Y,N,N,N,N,N,N,N,N,N,N
50,주주종합동물병원,충청북도 청주시 청원구 공항로 102 (율량동),2006-03-30,043-217-0078,N,Y,N,N,N,N,N,N,N,N,N,N
51,충북낙농업협동조합,충청북도 청주시 청원구 북이면 장재2길 66-10,2007-11-23,043-215-9336,Y,Y,Y,N,N,N,N,N,N,N,N,N
52,신흥동물병원(산업동물병원),충청북도 청주시 청원구 내수읍 충청대로 424,2008-09-26,043-212-9117,Y,Y,N,Y,Y,N,N,N,N,N,N,N
53,튼튼동물병원,충청북도 청주시 청원구 오창읍 각리 637번지 9호 대원칸타빌아파트 상가 101호 ,2009-12-03,043-241-7582,N,Y,N,N,N,N,N,N,N,N,N,N
54,하나동물병원,충청북도 청주시 청원구 새터로 22-1 (내덕동),2010-09-30,043-223-5511,Y,Y,Y,N,N,N,N,N,N,N,N,N
55,웰니스동물병원,충청북도 청주시 청원구 오창읍 중심상업1로 8-11 (홈플러스 오창점),2018-04-26,043-283-7305,N,Y,N,N,N,N,N,N,N,N,N,N
56,충북야생동물센터,충청북도 청주시 청원구 오창읍 양청4길 45,2014-07-09,043-216-3328,N,Y,N,N,N,N,N,N,N,N,Y,N
57,24시청주i동물병원,충청북도 청주시 청원구 충청대로 103 (율량동),2015-03-10,043-214-9975,N,Y,N,N,N,N,N,N,N,N,N,N
58,스타동물병원,충청북도 청주시 청원구 오창읍 양청택지로 119 (스튜디오),2015-09-10,043-211-9669,N,Y,N,N,N,N,N,N,N,N,N,N
59,메인동물병원,충청북도 청주시 청원구 오창읍 중심상업1로 46-17,2016-03-22,043-288-7533,N,Y,N,N,N,N,N,N,N,N,N,N
60,청주온누리동물메디컬센터,충청북도 청주시 청원구 1순환로 148 201호(율량동),2017-07-31,043-716-0075,N,Y,N,N,N,N,N,N,N,N,N,N
61,다나동물병원,충청북도 청주시 청원구 오창읍 양지리 82-1 101호,2017-09-28,,N,Y,N,N,N,N,N,N,N,N,N,N
62,오성동물병원,충청북도 청주시 청원구 오창읍 양청1길 21 보람타운,2019-01-15,043-240-7654,N,Y,N,N,N,N,N,N,N,N,N,N
63,새솔동물병원,충청북도 청주시 청원구 오창읍 오창시내5길 7,2019-01-16,,Y,Y,Y,N,N,N,N,N,N,N,N,N
64,건국동물병원,충청북도 청주시 청원구 내수읍 마산5길 24-1,2020-08-31,,Y,Y,Y,N,N,N,N,N,N,N,N,N
65,박동물병원,충청북도 충주시 연수로 6-5 (금릉동),1995-05-06,043-842-4579,N,Y,Y,N,N,N,N,N,N,N,N,N
66,충주축협동물병원,충청북도 충주시 예성로 256 (교현동),1998-05-04,043-850-7555,Y,Y,Y,N,N,N,N,N,N,N,N,N
67,정종합동물병원,충청북도 충주시 지현천변1길 57 (지현동),2000-08-05,043-854-8054,N,Y,N,N,N,N,N,N,N,N,N,N
68,현대동물병원,충청북도 충주시 번영대로 144 (연수동),2002-07-16,043-851-3040,N,Y,N,N,N,N,N,N,N,N,N,N
69,가인동물병원,충청북도 충주시 계명대로 155 (연수동),2004-08-31,043-844-2223,N,Y,Y,N,Y,N,N,N,N,N,N,N
70,보드미동물병원,충청북도 충주시 국원대로 108 (교현동),2005-05-26,043-843-0075,N,Y,N,N,N,N,N,N,N,N,N,N
71,열린동물병원,충청북도 충주시 금릉로 78 (교현동),2007-07-03,043-857-0075,N,Y,Y,N,Y,N,N,N,N,N,N,N
72,중앙동물의료센터,충청북도 충주시 국원대로 131 1층 (교현동),2015-11-12,043-852-8875,N,Y,N,N,N,N,N,N,N,N,N,N
73,문동물병원,충청북도 충주시 대소원면 용관길 16 1층,2017-04-06,,Y,Y,Y,N,N,N,N,N,N,N,N,N
74,큰동물병원,충청북도 충주시 주덕읍 신덕로 1364-1,2018-04-17,,Y,Y,Y,N,N,N,N,N,N,N,N,N
75,애플동물병원,충청북도 충주시 계명대로 15(하나빌딩 1층),2018-06-29,043-911-8275,N,Y,N,N,N,N,N,N,N,N,N,N
76,용산동물병원,충청북도 충주시 형설로 54-11,2018-12-18,043-847-7582,N,Y,N,N,N,N,N,N,N,N,N,N
77,중원동물병원,충청북도 충주시 천변로 249(교현동),2019-04-18,,Y,Y,Y,N,N,N,N,N,N,N,N,N
78,진주동물병원,충청북도 제천시 의림대로15길24,1990-01-10,043-643-6100,Y,Y,Y,N,N,N,N,N,N,N,N,N
79,제천종합동물병원,충청북도 제천시 의림대로155-2,2019-07-22,043-652-0075,N,Y,N,N,N,N,N,N,N,N,N,N
80,한일동물병원,충청북도 제천시 의병대로55-3,2007-01-16,043-643-3037,N,Y,N,N,N,N,N,N,N,N,N,N
81,명진동물병원,충청북도 제천시 원뜰로34,2016-06-24,043-645-8272,N,Y,N,N,N,N,N,N,N,N,N,N
82,그레이스동물병원,충청북도 제천시 죽하로 51층(장락동),2017-11-13,043-652-7582,N,Y,N,N,N,N,N,N,N,N,N,N
83,나라동물병원,충청북도 제천시 의림대로 285 2층(청전동),2020-06-22,043-648-0750,N,Y,N,N,N,N,N,N,N,N,N,N
84,바로동물병원,충청북도 제천시 용두천로 114-8,2018-08-16,,N,Y,Y,N,N,N,N,N,N,N,N,N
85,하이응급동물병원,충청북도 제천시 의림대로 41 1층(영천동),2018-10-18,043-653-7588,N,Y,N,N,N,N,N,N,N,N,N,N
86,금강동물병원,충청북도 제천시 용두천로 73-13 2층,2020-05-20,,Y,Y,Y,N,N,N,N,N,N,N,N,N
87,서울동물병원,충청북도 보은군 보은읍 보은로 90-1,1976-11-10,043-544-2342,Y,Y,Y,N,N,N,N,N,N,N,N,N
88,최상오동물병원,충청북도 보은군 보은읍 보은로 119-1,1991-04-01,043-543-0753,Y,Y,Y,N,N,N,N,N,N,N,N,N
89,한국동물병원,충청북도 보은군 보은읍 삼산남로 34,1995-04-28,043-543-3514,Y,Y,Y,N,N,N,N,N,N,N,N,N
90,중앙동물병원,충청북도 보은군 마로면 관기송현로 106,1999-05-01,043-543-7595,Y,Y,Y,N,N,N,N,N,Y,N,N,N
91,송진우동물병원,충청북도 보은군 보은읍 삼산남로 43-1,2001-03-29,043-543-5237,Y,Y,Y,N,N,N,N,N,N,N,N,N
92,E-동물의료원,충청북도 보은군 마로면 관기송현로 95-1,2008-12-29,,Y,Y,Y,N,N,N,N,N,N,N,N,N
93,보은옥천영동축협 동물병원,충청북도 보은군 보은읍 뱃들로 57,2012-12-20,043-540-6399,Y,Y,Y,N,N,N,N,N,N,N,N,N
94,옥천동물병원,충청북도 옥천군 옥천읍 삼금로 53,2014-12-16,043-732-8844,N,Y,Y,N,N,N,N,Y,N,N,N,N
95,아름동물병원,충청북도 옥천군 옥천읍 삼양로 41-1,1993-11-04,043-731-3935,N,Y,Y,N,N,N,N,Y,N,N,N,N
96,청산동물병원,충청북도 옥천군 청산면 지전1길 10-1,1978-11-08,043-732-8173,Y,Y,Y,N,N,N,N,Y,N,N,N,N
97,참좋은동물병원,충청북도 옥천군 옥천읍 금장로 23,1998-10-12,043-733-1548,Y,Y,Y,N,N,N,N,Y,N,N,N,N
98,고려동물병원,충청북도 옥천군 옥천읍 문장로 81-8,2012-12-03,043-733-3478,Y,Y,Y,N,N,N,N,Y,N,N,N,N
99,현대동물병원,충청북도 옥천군 옥천읍 성암2길 42-1,2018-08-27,,Y,Y,Y,N,N,N,N,Y,N,N,N,N
100,영동합동동물병원,충청북도 영동군 영동읍 영동천2길 5,1991-05-06,043-742-2055,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N
101,최종주동물병원,충청북도 영동군 영동읍 계산로 54,1992-07-20,043-743-4797,N,Y,Y,N,N,N,N,N,N,N,N,N
102,백동물병원,충청북도 영동군 영동읍 계산로 27 (신화빌딩 1층),2009-08-27,043-744-8275,N,Y,Y,Y,Y,N,N,N,N,N,N,N
103,우리동물병원,충청북도 증평군 증평읍 신동리 111번지 ,2000-11-02,043-836-4020,N,Y,N,N,N,N,N,N,N,N,N,N
104,증평동물병원,충청북도 증평군 증평읍 교동리 39번지 ,2001-11-26,043-836-2246,N,Y,Y,N,N,N,N,N,N,N,N,N
105,우주동물병원,충청북도 증평군 증평읍 창동리 791번지 ,2002-04-12,043-838-4275,N,Y,Y,N,N,N,N,N,N,N,N,N
106,하나동물병원,충청북도 증평군 증평읍 증평로 100,2019-11-08,043-838-4742,Y,Y,Y,Y,Y,N,N,N,N,N,N,N
107,바론동물병원,충청북도 증평군 증평읍 송산로 8길 4-26,2020-03-31,,N,Y,N,N,N,N,N,N,N,N,N,N
108,진천축산업협동조합 동물병원,충청북도 진천군 진천읍 중앙서로 53 (진천축협 본점),2013-05-31,043-533-8109,N,Y,Y,N,N,N,N,Y,N,N,N,N
109,광혜원 동물병원,충청북도 진천군 광혜원면 장기2길 12-5,1985-03-12,043-535-2380,N,Y,Y,N,N,N,N,N,N,N,N,N
110,진천 동물병원,충청북도 진천군 진천읍 문화6안길 14-1,1996-08-28,043-533-7212,N,Y,Y,Y,N,N,N,Y,N,N,N,N
111,오수의과 동물병원,충청북도 진천군 진천읍 원덕로 342,1996-01-27,043-534-1548,N,Y,Y,Y,N,N,N,Y,N,N,N,N
112,그린벨이콰인 동물병원,충청북도 진천군 진천읍 중앙동로 127-1,2013-11-11,043-534-8275,N,Y,Y,Y,N,N,N,Y,N,N,N,N
113,한마음 동물병원,충청북도 진천군 진천읍 신정리 386번지 4호 ,2014-04-23,,Y,Y,Y,Y,N,N,N,Y,N,N,N,N
114,다솜 동물병원,충청북도 진천군 진천읍 중앙동로 33,2017-03-15,043-533-0435,N,Y,N,N,N,N,N,N,N,N,N,N
115,해피트리 동물병원,충청북도 진천군 덕산읍 시가로 24 109호 110호,2019-11-13,043-537-1722,N,Y,N,N,N,N,N,N,N,N,N,N
116,CM동물병원,충청북도 진천군 광혜원면 화랑2길 12-4 1층,2020-08-26,043-533-8868,N,Y,N,N,N,N,N,N,N,N,N,N
117,괴산증평축협동물병원,충청북도 괴산군 괴산군 괴산읍 읍내로2길 39 (괴산증평축협),2010-05-04,043-833-8870,Y,Y,Y,N,N,N,N,N,N,N,N,N
118,김종하 동물병원,충청북도 괴산군 괴산군 괴산읍 읍내로2길 45,1987-02-13,043-832-2174,Y,Y,Y,N,N,N,N,N,N,N,N,N
119,목도 동물병원,충청북도 괴산군 괴산군 불정면 목도로3길 1,1974-05-14,043-833-7137,Y,Y,Y,N,N,N,N,N,N,N,N,N
120,김동물병원,충청북도 괴산군 괴산군 사리면 문화2길 1,2016-12-16,,Y,Y,Y,N,N,N,N,N,N,N,N,N
121,수암동물병원,충청북도 괴산군 괴산군 괴산읍 임꺽정로 159,2016-12-22,,Y,Y,N,N,N,Y,N,N,N,N,N,N
122,우원동물병원,충청북도 괴산군 괴산읍 남산1길 41-1,2020-04-10,,Y,Y,Y,N,N,N,N,N,N,N,N,N
123,삼성가축병원,충청북도 음성군 삼성면 대성로 613,1984-03-13,043-878-5316,Y,Y,Y,N,N,N,N,N,N,N,N,N
124,음성동물병원,충청북도 음성군 음성읍 중앙로 142,1987-02-03,043-872-2262,N,Y,Y,N,N,N,N,N,N,N,N,N
125,금왕동물병원,충청북도 음성군 금왕읍 대금로 1498,1990-07-10,043-877-0763,Y,Y,Y,N,N,N,N,N,N,N,N,N
126,남영가축병원,충청북도 음성군 음성읍 중앙로40번길 24,1999-11-04,043-872-7747,Y,Y,N,N,Y,N,N,N,N,N,N,N
127,현대동물병원,충청북도 음성군 금왕읍 대금로 1421,2002-11-05,043-883-1678,N,Y,Y,N,N,N,N,N,N,N,N,N
128,반석가금진료연구소,충청북도 음성군 대소면 대금로54번길 8,2007-07-23,043-535-6426,Y,Y,N,N,Y,N,N,N,N,N,N,N
129,음성축협동물병원,충청북도 음성군 음성읍 시장로 99,2011-04-29,043-873-9303,N,Y,Y,Y,N,N,N,N,N,N,N,N
130,테오동물병원,충청북도 음성군 금왕읍 음성로 1203,2016-02-18,043-882-8975,N,Y,N,N,N,N,N,N,N,N,N,N
131,전동물병원,충청북도 음성군 대소면 대금로822,2016-04-07,,Y,Y,Y,N,N,N,N,N,N,N,N,N
132,대소동물병원,충청북도 음성군 대소면 대금로 502,2016-05-12,043-883-7511,N,Y,N,N,N,N,N,N,N,N,N,N
133,그린벨동물의료센터,충청북도 음성군 맹동면 대하1길 4 위너스타워 2층 205 206호,2018-06-15,043-882-7975,N,Y,N,N,N,N,N,N,N,N,N,N
134,중부동물병원,충청북도 음성군 대소면 신내로 454,2019-01-30,043-881-5566,N,Y,N,N,N,N,N,N,N,N,N,N
135,우성동물병원,충청북도 음성군 맹동면 용두3길 5 109호,2020-05-18,,Y,Y,Y,N,N,N,N,Y,N,N,N,N
136,중부동물병원,충청북도 단양군 단양읍 삼봉로 319,1990-11-01,043-423-1483,N,Y,Y,N,N,N,N,N,N,N,N,N
