연번,유형,상호명,도로명주소,전화번호,위도,경도
21,동물판매업(일반),펫마을,"인천광역시 미추홀구 석정로150번길 51, 2층 (도화동)",,37.46748427,126.6548304
22,동물판매업(일반),핫도그,"인천광역시 미추홀구 소성로318번길 18-12, 3층 (문학동)",,37.43695601,126.6821018
23,동물판매업(일반),오월펫,"인천광역시 미추홀구 석정로92번길 171, 인화빌딩 (도화동)",,37.46705179,126.6556955
24,동물판매업(일반),캣썸플레이스,"인천광역시 미추홀구 경인로 429, 1층 (주안동)",,37.45827139,126.6878803
25,동물전시업,캣썸플레이스,"인천광역시 미추홀구 경인로 429, 1층 (주안동)",,37.45827139,126.6878803
26,동물위탁관리업,펫앤펫 인천점 강아지의 모든것,인천광역시 미추홀구 경인로 500 (주안동),,37.45988987,126.694919
27,동물위탁관리업,아라종합동물병원,인천광역시 미추홀구 주안로 73 (주안동),032-886-0079,37.46435481,126.6778394
28,동물위탁관리업,꿈꾸는강아지,인천광역시 미추홀구 인하로430번길 30 (관교동),,37.44449273,126.6936446
29,동물위탁관리업,똥개마을,"인천광역시 미추홀구 능해길46번길 51 (용현동, 삼익아파트)",,37.45617389,126.6386032
30,동물위탁관리업,아지세상(애견샾),인천광역시 미추홀구 경인로325번길 22-36 (주안동),,37.45962284,126.6776882
31,동물위탁관리업,강아지 친구,"인천광역시 미추홀구 인주대로 84, 상가동 101호 (용현동, 선우아파트)",,37.45736698,126.6464002
32,동물위탁관리업,오월펫,"인천광역시 미추홀구 석정로92번길 171, 인화빌딩 (도화동)",,37.46705179,126.6556955
33,동물위탁관리업,캣썸플레이스,"인천광역시 미추홀구 경인로 429, 1층 (주안동)",,37.45827139,126.6878803
34,동물미용업(일반),펫앤펫 인천점 강아지의 모든것,인천광역시 미추홀구 경인로 500 (주안동),,37.45988987,126.694919
35,동물미용업(일반),아라종합동물병원,인천광역시 미추홀구 주안로 73 (주안동),032-886-0079,37.46435481,126.6778394
36,동물미용업(일반),꿈꾸는강아지,인천광역시 미추홀구 인하로430번길 30 (관교동),,37.44449273,126.6936446
37,동물미용업(일반),이쁜개,인천광역시 미추홀구 낙섬중로 57-1 (용현동),,37.45320068,126.638494
38,동물미용업(일반),똥개마을,"인천광역시 미추홀구 능해길46번길 51 (용현동, 삼익아파트)",,37.45617389,126.6386032
39,동물미용업(일반),강사모백화점,"인천광역시 미추홀구 낙섬중로91번길 4, 1층 (용현동)",032-881-4544,37.45593683,126.6406124
40,동물미용업(일반),강사모 펫,인천광역시 미추홀구 소성로 310 (문학동),,37.43757478,126.6814858
41,동물미용업(일반),아지세상(애견샾),인천광역시 미추홀구 경인로325번길 22-36 (주안동),,37.45962284,126.6776882
42,동물미용업(일반),강아지 친구,"인천광역시 미추홀구 인주대로 84, 상가동 101호 (용현동, 선우아파트)",,37.45736698,126.6464002
43,동물미용업(일반),팡팡애견,"인천광역시 미추홀구 아암대로45번길 83-14, 1층 (용현동)",,37.45560129,126.640344
44,동물미용업(일반),캣썸플레이스,"인천광역시 미추홀구 경인로 429, 1층 (주안동)",,37.45827139,126.6878803
45,동물판매업(일반),한울타리,인천광역시 미추홀구 비룡길41번길 18-10 (용현동),,37.45355416,126.6542167
46,동물판매업(일반),강아지친구,"인천광역시 미추홀구 인주대로84번길 8, 1층 (용현동, 선우2차아파트)",032-888-4799,37.45715612,126.6463929
47,동물판매업(일반),버블멍,인천광역시 미추홀구 수봉로 26 (숭의동),,37.46386867,126.6561444
48,동물판매업(일반),오키독,"인천광역시 미추홀구 독정이로 43, 1층 (숭의동)",,37.45974264,126.6529863
49,동물판매업(일반),은애견,인천광역시 미추홀구 한나루로 417 (학익동),032-874-8877,37.44473475,126.665341
50,동물판매업(일반),몽블리즈,인천광역시 미추홀구 길파로 9 (주안동),,37.46660751,126.6791974
51,동물판매업(일반),러비도기,인천광역시 미추홀구 석정로10번길 63 (숭의동),032-815-2991,37.45962958,126.6454043
52,동물판매업(일반),냉큼오시개,인천광역시 미추홀구 매소홀로535번길 41 (문학동),,37.44030944,126.6798152
53,동물판매업(일반),쉬크독,"인천광역시 미추홀구 매소홀로561번길 4, 1층 (문학동)",,37.43873907,126.6845094
54,동물판매업(일반),댕댕아야옹,"인천광역시 미추홀구 매소홀로535번길 41, 1층 (문학동)",,37.44030944,126.6798152
55,동물판매업(일반),강아지분양 멍블랑 인하대점,"인천광역시 미추홀구 인주대로 72, 드래곤프라자 105호 (용현동)",,37.45799791,126.6452718
56,동물판매업(일반),어서오개,"인천광역시 미추홀구 석바위로 28, 백화연구소 1층 (도화동)",,37.46069075,126.6761512
57,동물판매업(일반),개떼라떼,"인천광역시 미추홀구 숙골로 116, 스카이프라자1 401호,402호 (도화동)",,37.47236729,126.6617838
58,동물판매업(일반),펫샾(#)시티,"인천광역시 미추홀구 수봉남로17번길 41, 2층, 3층 일부층 (용현동)",,37.45885143,126.6551022
59,동물판매업(일반),오독강아지분양 인천점,"인천광역시 미추홀구 주안로 148, 1층 (주안동)",,37.46356358,126.6861922
60,동물판매업(일반),인천고양이분양 라온캣,"인천광역시 미추홀구 인주대로458번길 8, 1층 (주안동)",,37.45037674,126.6871987
61,동물판매업(일반),강아지 분양 프러포즈펫,"인천광역시 미추홀구 숙골로87번길 24, 가야프라자 1층 102호 (도화동)",032-872-7003,37.46995702,126.6607804
62,동물판매업(일반),개이뿌개,"인천광역시 미추홀구 소성로 292, 1층 (문학동)",,37.43748006,126.6796098
63,동물판매업(일반),댕댕이 마을,"인천광역시 미추홀구 인주대로434번길 8, 1층 (주안동)",,37.45052537,126.6847414
64,동물수입업,개떼라떼,"인천광역시 미추홀구 숙골로 116, 스카이프라자1 401호,402호 (도화동)",,37.47236729,126.6617838
65,동물수입업,펫샾(#)시티,"인천광역시 미추홀구 수봉남로17번길 41, 2층, 3층 일부층 (용현동)",,37.45885143,126.6551022
66,동물전시업,멍튜브,"인천광역시 미추홀구 주안로213번길 10-1, 8층 (주안동)",070-7543-4208,37.46388213,126.6939349
67,동물전시업,봉봉애견카페호텔,"인천광역시 미추홀구 경인로 25, 숭의빌딩 302호 (숭의동)",,37.46364774,126.6458325
68,동물전시업,개떼라떼,"인천광역시 미추홀구 숙골로 116, 스카이프라자1 401호,402호 (도화동)",,37.47236729,126.6617838
69,동물위탁관리업,이쁜강아지,인천광역시 미추홀구 소성로 334 (문학동),,37.43737508,126.6842601
70,동물위탁관리업,파리 애견스타일,"인천광역시 미추홀구 소성로 237, 201호 (학익동)",,37.43913243,126.6741381
71,동물위탁관리업,러블리 강아지,"인천광역시 미추홀구 동산로 9, 1층 (숭의동)",,37.4693146,126.6502424
72,동물위탁관리업,우리집 강아지,"인천광역시 미추홀구 석정로456번길 4, 1층 (주안동)",,37.46606834,126.686139
73,동물위탁관리업,펫앤펫,인천광역시 미추홀구 경인로 500 (주안동),032-432-8557,37.45988987,126.694919
74,동물위탁관리업,아이러브펫AC,"인천광역시 미추홀구 소성로 6, 홈플러스 지하층 (용현동)",032-875-7566,37.44706744,126.6508493
75,동물위탁관리업,버블멍,인천광역시 미추홀구 수봉로 26 (숭의동),,37.46386867,126.6561444
76,동물위탁관리업,Dear Johny,"인천광역시 미추홀구 석정로 360, 103호 (주안동, 주안태화아파트)",,37.46710903,126.6756736
77,동물위탁관리업,오키독,"인천광역시 미추홀구 독정이로 43, 1층 (숭의동)",,37.45974264,126.6529863
78,동물위탁관리업,멍튜브,"인천광역시 미추홀구 주안로213번길 10-1, 8층 (주안동)",070-7543-4208,37.46388213,126.6939349
79,동물위탁관리업,애견스토리,인천광역시 미추홀구 미추홀대로 636-3 (주안동),,37.45415801,126.6800986
80,동물위탁관리업,개쩔개,"인천광역시 미추홀구 낙섬서로18번길 27-16, 1층 (용현동)",,37.45078841,126.6358837
81,동물위탁관리업,동그리멍,"인천광역시 미추홀구 염전로168번길 28, 도화두손지젤시티 에이동 114호 (도화동)",,37.47696529,126.6592689
82,동물위탁관리업,학익동물병원,"인천광역시 미추홀구 한나루로 379, 1층 (학익동)",032-868-2626,37.44195578,126.6630017
83,동물위탁관리업,개조아,인천광역시 미추홀구 장천로 60 (숭의동),,37.46081958,126.6511084
84,동물위탁관리업,멍뭉이애견샵,인천광역시 미추홀구 매소홀로 73-6 (용현동),,37.44957305,126.6341373
85,동물위탁관리업,그로우펫,"인천광역시 미추홀구 주안중로43번길 14-1, 수목어빌딩 2층 (주안동)",,37.46261825,126.6819144
86,동물위탁관리업,포인트동물의료센터,"인천광역시 미추홀구 낙섬중로 92, 101호, 102호 (용현동)",032-882-8275,37.45565838,126.6407753
87,동물위탁관리업,댕댕아야옹,"인천광역시 미추홀구 매소홀로535번길 41, 1층 (문학동)",,37.44030944,126.6798152
88,동물위탁관리업,신나개놀개,"인천광역시 미추홀구 독배로 305, 이한프라자 3층 (용현동)",070-8882-7677,37.44745705,126.6498467
89,동물위탁관리업,봉봉애견카페호텔,"인천광역시 미추홀구 경인로 25, 숭의빌딩 302호 (숭의동)",,37.46364774,126.6458325
90,동물위탁관리업,개떼라떼,"인천광역시 미추홀구 숙골로 116, 스카이프라자1 401호,402호 (도화동)",,37.47236729,126.6617838
91,동물위탁관리업,펫샾(#)시티,"인천광역시 미추홀구 수봉남로17번길 41, 2층, 3층 일부층 (용현동)",,37.45885143,126.6551022
92,동물위탁관리업,달퍼피(Dall Puppy),"인천광역시 미추홀구 숙골로112번길 2, 드림프라자 2층 202호 (도화동)",,37.47171201,126.6623574
93,동물위탁관리업,명심보견(켓독),"인천광역시 미추홀구 주안로 89, 오피스텔 디에이 리베로 1층 111호 (주안동)",032-875-8707,37.46436409,126.6792968
94,동물위탁관리업,딩동댕 애견카페,"인천광역시 미추홀구 토금중로11번길 10, 2층 (용현동)",,37.4543565,126.635359
95,동물위탁관리업,꽃피는견생 인천애견유치원,"인천광역시 미추홀구 염전로202번길 59, 다온프라자3 4층 401호 (도화동)",,37.47553071,126.6607738
96,동물위탁관리업,댕댕이 마을,"인천광역시 미추홀구 인주대로434번길 8, 1층 (주안동)",,37.45052537,126.6847414
97,동물위탁관리업,댕댕이 카페,"인천광역시 미추홀구 미추홀대로722번길 18, 4층 (주안동)",,37.4616789,126.6813917
98,동물미용업(일반),이쁜강아지,인천광역시 미추홀구 소성로 334 (문학동),,37.43737508,126.6842601
99,동물미용업(일반),파리 애견스타일,"인천광역시 미추홀구 소성로 237, 201호 (학익동)",,37.43913243,126.6741381
100,동물미용업(일반),라르펫,"인천광역시 미추홀구 노적산로 70, 102호 (학익동)",,37.44027659,126.6569653
101,동물미용업(일반),러블리 강아지,"인천광역시 미추홀구 동산로 9, 1층 (숭의동)",,37.4693146,126.6502424
102,동물미용업(일반),개미딱지,인천광역시 미추홀구 장천로112번길 5 (숭의동),,37.46272072,126.6564934
103,동물미용업(일반),강아지소풍,인천광역시 미추홀구 주승로 98-5 (주안동),,37.44484735,126.6814049
104,동물미용업(일반),한국동물병원,인천광역시 미추홀구 낙섬중로 25 (용현동),032-887-2952,37.45076074,126.63667
105,동물미용업(일반),제물포애견,인천광역시 미추홀구 수봉로 28 (숭의동),,37.46370539,126.6561382
106,동물미용업(일반),우리집 강아지,"인천광역시 미추홀구 석정로456번길 4, 1층 (주안동)",,37.46606834,126.686139
107,동물미용업(일반),토토애견,인천광역시 미추홀구 제일로 42 (도화동),,37.45859609,126.6747102
108,동물미용업(일반),버블멍,인천광역시 미추홀구 수봉로 26 (숭의동),032-889-1357,37.46386867,126.6561444
109,동물미용업(일반),브라운동물병원,"인천광역시 미추홀구 독배로432번길 3, 1층 (숭의동)",032-889-7582,37.45823344,126.6493803
110,동물미용업(일반),펫홈,"인천광역시 미추홀구 미추홀대로 620, 1층 (주안동)",,37.45258534,126.6801119
111,동물미용업(일반),똥개이발소,"인천광역시 미추홀구 경인로 16, 1층 (숭의동)",032-887-2829,37.46284761,126.6450121
112,동물미용업(일반),펫앤펫,인천광역시 미추홀구 경인로 500 (주안동),032-432-8557,37.45988987,126.694919
113,동물미용업(일반),꼬리치랑개,인천광역시 미추홀구 경인로 323 (도화동),032-868-9428,37.45906779,126.6761278
114,동물미용업(일반),하나애견샵,"인천광역시 미추홀구 매소홀로418번길 20, 현광아파트 상가동 104호 (학익동)",,37.4390813,126.6681016
115,동물미용업(일반),쏭쓰펫살롱,"인천광역시 미추홀구 용정공원로 33, 인천 SK Sky VIEW A-4동 207호 (용현동)",032-889-1909,37.45201495,126.6450629
116,동물미용업(일반),아이러브펫AC,"인천광역시 미추홀구 소성로 6, 홈플러스 지하층 (용현동)",032-875-7566,37.44706744,126.6508493
117,동물미용업(일반),개네마을,"인천광역시 미추홀구 승학길104번길 30, 103호 (주안동, 인천주안한신휴플러스)",032-422-6413,37.4437066,126.6812456
118,동물미용업(일반),시드니종합동물병원,"인천광역시 미추홀구 미추홀대로 594, 동경프라자 1층 (주안동)",032-437-7588,37.45064128,126.6803654
119,동물미용업(일반),노아동물병원,"인천광역시 미추홀구 숙골로 90, 201호 (도화동)",,37.47047277,126.6634977
120,동물미용업(일반),Dear Johny,"인천광역시 미추홀구 석정로 360, 103호 (주안동, 주안태화아파트)",,37.46710903,126.6756736
121,동물미용업(일반),바른동물병원,"인천광역시 미추홀구 소성로 136, 4층 (학익동)",032-876-8575,37.44290208,126.6636846
122,동물미용업(일반),와우 동물농장,"인천광역시 미추홀구 구월남로 10, 1층 (주안동)",032-429-0520,37.4546922,126.6908208
123,동물미용업(일반),오키독,"인천광역시 미추홀구 독정이로 43, 1층 (숭의동)",,37.45974264,126.6529863
124,동물미용업(일반),빠박이 애견미용,"인천광역시 미추홀구 경인로425번길 35, 1층 (주안동)",,37.45970009,126.6872894
125,동물미용업(일반),강아지사랑,인천광역시 미추홀구 한나루로501번길 8 (용현동),,37.45185395,126.6668892
126,동물미용업(일반),강아지 이발관,"인천광역시 미추홀구 아암대로29번길 16, 105동 103호 (용현동, 인천 용현 엑슬루타워)",,37.45666052,126.6380152
127,동물미용업(일반),애견스토리,인천광역시 미추홀구 미추홀대로 636-3 (주안동),,37.45415801,126.6800986
128,동물미용업(일반),쏭트리밍,"인천광역시 미추홀구 독배로 394, 1층 (용현동)",,37.4547633,126.649321
129,동물미용업(일반),온누리동물병원,인천광역시 미추홀구 인주대로 168 (용현동),032-866-5725,37.45578764,126.6555949
130,동물미용업(일반),개쩔개,"인천광역시 미추홀구 낙섬서로18번길 27-16, 1층 (용현동)",,37.45078841,126.6358837
131,동물미용업(일반),둥지애견,인천광역시 미추홀구 인하로164번길 3 (용현동),032-874-1555,37.44883572,126.6661753
132,동물미용업(일반),멍멍스타,"인천광역시 미추홀구 경원대로833번길 57, 썬주택 1층 (주안동)",,37.45717234,126.6860121
133,동물미용업(일반),왈가닥펫,인천광역시 미추홀구 토금중로 53 (용현동),070-7766-9777,37.45213141,126.6391004
134,동물미용업(일반),동그리멍,"인천광역시 미추홀구 염전로168번길 28, 도화두손지젤시티 에이동 114호 (도화동)",,37.47696529,126.6592689
135,동물미용업(일반),올리스애견셀프목욕24시,"인천광역시 미추홀구 소성로 88, 엑슬루타워 상가동 103호 (학익동)",,37.44483568,126.6587609
136,동물미용업(일반),주안동물병원,인천광역시 미추홀구 석정로 400 (주안동),032-203-0075,37.46672249,126.6798011
137,동물미용업(일반),애니독,인천광역시 미추홀구 인하로 369 (주안동),,37.44838372,126.689321
138,동물미용업(일반),도그월드,"인천광역시 미추홀구 미추홀대로598번길 31, 1층 (주안동)",,37.4507237,126.6816581
139,동물미용업(일반),닥터파파,"인천광역시 미추홀구 미추홀대로 533, 1층 (주안동)",032-863-7582,37.44501583,126.6785394
140,동물미용업(일반),오로지펫,인천광역시 미추홀구 석바위로 4 (도화동),070-4281-0658,37.46104414,126.6734721
141,동물미용업(일반),학익동물병원,"인천광역시 미추홀구 한나루로 379, 1층 (학익동)",032-868-2626,37.44195578,126.6630017
142,동물미용업(일반),개조아,인천광역시 미추홀구 장천로 60 (숭의동),,37.46081958,126.6511084
143,동물미용업(일반),토리펫,"인천광역시 미추홀구 한나루로 492, 1층 (주안동)",,37.45069961,126.6674464
144,동물미용업(일반),딜루디움,"인천광역시 미추홀구 수봉북로 22-1, 2층 (도화동)",,37.46346965,126.6633243
145,동물미용업(일반),명심보견(켓독),"인천광역시 미추홀구 주안로 89, 111호 (주안동)",032-875-8707,37.46436409,126.6792968
146,동물미용업(일반),멍뭉이애견샵,인천광역시 미추홀구 매소홀로 73-6 (용현동),,37.44957305,126.6341373
147,동물미용업(일반),시드니종합동물병원,"인천광역시 미추홀구 미추홀대로 594, 동경프라자 1층 (주안동)",,37.45064128,126.6803654
148,동물미용업(일반),그로우펫,"인천광역시 미추홀구 주안중로43번길 14-1, 수목어빌딩 2층 (주안동)",,37.46261825,126.6819144
149,동물미용업(일반),사랑한개너양,"인천광역시 미추홀구 수봉로182번길 51, 1층 (주안동)",,37.45721344,126.6669928
150,동물미용업(일반),러비도기,인천광역시 미추홀구 석정로10번길 63 (숭의동),032-815-2991,37.45962958,126.6454043
151,동물미용업(일반),러블리 멍멍이,"인천광역시 미추홀구 석정로433번길 41, 1층 (주안동)",,37.46837436,126.684544
152,동물미용업(일반),포인트동물의료센터,"인천광역시 미추홀구 낙섬중로 92, 101호, 102호 (용현동)",032-882-8275,37.45565838,126.6407753
153,동물미용업(일반),댕댕아야옹,"인천광역시 미추홀구 매소홀로535번길 41, 1층 (문학동)",,37.44030944,126.6798152
154,동물미용업(일반),애견 미,"인천광역시 미추홀구 인주대로306번길 7, 1층 (주안동)",,37.45152515,126.6704499
155,동물미용업(일반),멍냥이 펫싸롱,"인천광역시 미추홀구 경인로 403, 101동 103호 (주안동, 주안 지웰에스테이트)",,37.45850585,126.6851354
156,동물미용업(일반),메르시독(mercidog),"인천광역시 미추홀구 송림로 197-1, 1층 (도화동)",,37.4762603,126.6555568
157,동물미용업(일반),꽃다비펫,인천광역시 미추홀구 주승로197번길 13-35 (관교동),,37.44573791,126.6916658
158,동물미용업(일반),본애견미용실,"인천광역시 미추홀구 인하로 287, 2층 (주안동)",,37.44824636,126.6799842
159,동물미용업(일반),개떼라떼,"인천광역시 미추홀구 숙골로 116, 스카이프라자1 401호,402호 (도화동)",,37.47236729,126.6617838
160,동물미용업(일반),도그아로마,"인천광역시 미추홀구 매소홀로 338, 학익동풍림아이원아파트 분산상가동 109호 (학익동)",,37.44151756,126.6596469
161,동물미용업(일반),멍메이트,"인천광역시 미추홀구 경원대로807번길 24, 1층 (주안동)",,37.45484348,126.6880793
162,동물미용업(일반),꽃길만걷개,"인천광역시 미추홀구 경인로34번길 28, 1층 (숭의동)[*미고시]",,37.46262089,126.6475603
163,동물미용업(일반),펫샾(#)시티,"인천광역시 미추홀구 수봉남로17번길 41, 2층, 3층 일부층 (용현동)",,37.45885143,126.6551022
164,동물미용업(일반),안상수동물병원,인천광역시 미추홀구 낙섬중로 53(용현동),032-887-1537,37.45292997,126.6382154
165,동물미용업(일반),달퍼피(Dall puppy),"인천광역시 미추홀구 숙골로112번길 2, 드림프라자 2층 202호 (도화동)",,37.47171201,126.6623574
166,동물미용업(일반),내사랑 강아지,"인천광역시 미추홀구 매소홀로 167, 신창미션힐 1층 101호 (용현동)",0332-887-0480,37.44427704,126.6421515
167,동물미용업(일반),"나에개, 반하냥","인천광역시 미추홀구 숙골로 124, 와이지타워 1층 108호 (도화동)",,37.47286999,126.6613211
168,동물미용업(일반),써니펫살롱,"인천광역시 미추홀구 석바위로 4, 2층 202호 (도화동)",,37.46104414,126.6734721
169,동물미용업(일반),강아지 분양 프러포즈펫,"인천광역시 미추홀구 숙골로87번길 24, 가야프라자 1층 102호 (도화동)",032-872-7003,37.46995702,126.6607804
170,동물미용업(일반),중앙애견미용실,"인천광역시 미추홀구 경인로 417-1, 1층 (주안동)",,37.45830369,126.6865718
171,동물미용업(일반),루나독(Luna dog),"인천광역시 미추홀구 용정공원로 33, 106호 (용현동, 인천 SK Sky VIEW)",,37.45201495,126.6450629
172,동물미용업(일반),개이뿌개,"인천광역시 미추홀구 소성로 292, 1층 (문학동)",,37.43748006,126.6796098
173,동물운송업,불티나 펫,"인천광역시 미추홀구 미추로 5, 403호 (숭의동, 진복 행복마을)",,37.46072441,126.6476671
174,동물운송업,아지냥이콜,"인천광역시 미추홀구 매소홀로415번길 10, 201호 (학익동, 예다움)",,37.44055209,126.6686388
175,동물운송업,펫이즈,"인천광역시 미추홀구 문학길109번길 18, 102호 (문학동)",,37.43568806,126.6843713
176,동물운송업,정성카,"인천광역시 미추홀구 염전로168번길 28, 도화 두손지젤시티 A동 1431호 (도화동)",,37.47696529,126.6592689
177,동물운송업,펫이즈,"인천광역시 미추홀구 경원대로 717, 117동 601호 (주안동, 인천관교 한신휴플러스)",,37.44708339,126.6852052
178,동물운송업,개떼라떼,"인천광역시 미추홀구 숙골로 116, 스카이프라자1 401호,402호 (도화동)",,37.47236729,126.6617838
179,동물운송업,홍익인용펫,"인천광역시 미추홀구 매소홀로 143, 1동 509호 (용현동, 윤성아파트)",,37.44594254,126.6396546
180,동물운송업,pet67보0125,"인천광역시 미추홀구 경원대로821번길 27, 302호 (주안동, 대형홈맨션)",,37.45585989,126.6877652
