영업의종류,영업장명칭,소재지주소(도로명),소재지전화
동물위탁관리업,포우포우,"부산광역시 북구 시랑로106번길 6, 포우포우 1층 (구포동)",
동물위탁관리업,요미요미 강아지미용실,"부산광역시 북구 효열로275번길 40, 1층 (금곡동)",
동물위탁관리업,댕댕이네,부산광역시 북구 만덕대로78번길 30(덕천동),
동물미용업(일반),해피몽,"부산광역시 북구 만덕대로 141, 삼정그린코아아파트 4동 1층 108호 (덕천동)",
동물미용업(일반),그루밍선데이,부산광역시 북구 시랑로 16 (구포동),051-342-0479
동물미용업(일반),선실장,"부산광역시 북구 만덕대로65번길 49, 2층 (덕천동)",051-335-3745
동물미용업(일반),내사랑땡구,"부산광역시 북구 만덕대로128번길 39, 상가동 4호 (덕천동, 은마아파트)",
동물미용업(일반),애견마을,"부산광역시 북구 산성로 41, 1층 (화명동)",051-363-8089
동물미용업(일반),해든동물병원,"부산광역시 북구 백양대로 1053, 1층 (구포동)",051-343-3834
동물미용업(일반),유동물의료센터,"부산광역시 북구 만덕대로 41, 2층 (덕천동)",051-343-7566
동물미용업(일반),뽀송뽀송 그루밍,"부산광역시 북구 함박봉로7번길 49, 1층 (덕천동)",051-331-3307
동물미용업(일반),나라애견,부산광역시 북구 팽나무로 2 (구포동),051-336-0790
동물미용업(일반),애견스토리,"부산광역시 북구 시랑로 64, 1층 (구포동)",051-333-5740
동물미용업(일반),만덕24시 동물병원,"부산광역시 북구 덕천로 227, 1층 (만덕동)",051-337-0075
동물미용업(일반),백양동물병원,"부산광역시 북구 덕천로276번길 5, 1층 (만덕동, 동원맨션)",051-332-7588
동물미용업(일반),아지다펫,"부산광역시 북구 만덕대로78번길 22, 1층 (덕천동)",051-341-3400
동물미용업(일반),멍멍이까까,"부산광역시 북구 시랑로 156, 상가동 1호 (구포동, 백조그린타운)",051-337-5352
동물미용업(일반),구포동물병원,"부산광역시 북구 낙동대로 1650, 남양빌딩 1층 (구포동)",051-332-5688
동물미용업(일반),슈에뜨시앙,"부산광역시 북구 덕천로 217-1, 1층 (만덕동)",
동물미용업(일반),하나 동물병원,"부산광역시 북구 금곡대로 469, 농협하나로클럽 3층 (금곡동)",051-337-0975
동물미용업(일반),깍까독,"부산광역시 북구 낙동대로1762번길 45, 구포농협중앙지소 (구포동)",051-342-0399
동물미용업(일반),달리애견,"부산광역시 북구 효열로 213, 우정빌딩 2층 (금곡동)",051-363-4535
동물미용업(일반),더힐퍼피짱,"부산광역시 북구 만덕대로 147, 삼정그린코아아파트 상가동 1층 105,106호 (덕천동)",051-341-3344
동물미용업(일반),야옹아 멍멍해봐,"부산광역시 북구 화명대로 20, 대성빌딩 103호 (화명동)",051-365-0053
동물미용업(일반),그랜드 동물병원,"부산광역시 북구 학사로 299, 해림빌딩 2층 (금곡동)",051-365-7588
동물미용업(일반),원 동물병원,"부산광역시 북구 금곡대로 287, 삼한골든뷰 2층 202,203호 (화명동)",051-333-7584
동물미용업(일반),백평애견 미용실,"부산광역시 북구 학사로 112, 1층 (화명동)",
동물미용업(일반),21세기 동물병원,"부산광역시 북구 만덕대로 34, 1층 (덕천동)",051-365-0075
동물미용업(일반),덕천 동물 병원,부산광역시 북구 만덕대로 119 (덕천동),051-332-8060
동물미용업(일반),펫츠런 애견,"부산광역시 북구 효열로 210, 무궁화마트 (금곡동)",051-363-6629
동물미용업(일반),행복한 동물병원,"부산광역시 북구 금곡대로 344, 화명빌딩 2층 202호 (화명동)",051-363-7593
동물미용업(일반),로이네 애견호텔,"부산광역시 북구 만덕대로 178, 3층 (덕천동)",051-331-5384
동물미용업(일반),카이저 동물병원,"부산광역시 북구 금곡대로 182, 새마을금고 1층 (화명동)",051-361-7582
동물미용업(일반),노아 동물병원,"부산광역시 북구 금곡대로 175, 207동 201호 (화명동, 화명2차동원로얄듀크비스타)",051-343-7588
동물미용업(일반),도그몰,"부산광역시 북구 금곡대로 191, 1층 (화명동)",051-361-3966
동물미용업(일반),뽀대난 멍냥이,"부산광역시 북구 덕천로 358-1, 1층 (만덕동)",
동물미용업(일반),토브 동물병원,"부산광역시 북구 화명대로 20, 대성빌딩 101호 (화명동)",051-361-9975
동물미용업(일반),바니펫살롱,"부산광역시 북구 만덕1로 49, 휴먼시아아파트 상가동 201호 (만덕동)",
동물미용업(일반),멍멍이네,"부산광역시 북구 덕천로259번길 30, 108동 104호 (만덕동, 대성타워맨션)",051-334-0070
동물미용업(일반),빛나개 팻샵,"부산광역시 북구 의성로109번길 23, 1층 (덕천동)",
동물미용업(일반),도담도담 grooming shop,"부산광역시 북구 화명신도시로 8, 거림빌딩 201-2호 (화명동)",
동물미용업(일반),베이직동물병원,"부산광역시 북구 만덕3로 55-1, 2층 (만덕동)",051-342-5999
동물미용업(일반),츄츄살롱,"부산광역시 북구 시랑로 158, 1층 9호 (구포동, 백조그린타운)",
동물미용업(일반),피터펫 애견카페 부산북구점,"부산광역시 북구 백양대로 1163, 3층 (구포동)",051-710-7110
동물미용업(일반),호텔스컴도그 화명점,"부산광역시 북구 화명대로12번길 79, 2층 (화명동)",
동물미용업(일반),슈가펫,"부산광역시 북구 상리로18번가길 7, 1층 (만덕동)",
동물미용업(일반),멍블리펫뷰티,"부산광역시 북구 상학로 2, 2층 (만덕동)",
동물미용업(일반),동행펫살롱,"부산광역시 북구 금곡대로 126, 채움센트럴 (덕천동)",051-908-7575
동물미용업(일반),도그마루 강아지 고양이 부산 화명점,"부산광역시 북구 금곡대로 276, 2층 (화명동)",
동물미용업(일반),앙볼리 펫살롱,"부산광역시 북구 학사로 132, 화명리버파크 104호 (화명동)",
동물미용업(일반),메리몰펫샵,"부산광역시 북구 상리로 36, 1층 (만덕동)",
동물미용업(일반),포우포우,"부산광역시 북구 시랑로106번길 6, 포우포우 1층 (구포동)",
동물미용업(일반),요미요미 강아지미용실,"부산광역시 북구 효열로275번길 40, 1층 (금곡동)",
동물미용업(일반),댕댕이네,부산광역시 북구 만덕대로78번길 30(덕천동),
동물미용업(일반),고프로그루밍,"부산광역시 북구 백양대로 1103, 2층 (구포동)",
