구분,사업장명칭,소재지주소,데이터기준일자,데이터담당부서,부서전화번호,
동물위탁관리업,개미남 개미녀,"인천광역시 서구 원창로 200-1, 1층 (신현동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,청라 공감 동물의료센터,"인천광역시 서구 중봉대로586번길 22, 1층 (청라동, 청라 풍림 엑슬루타워)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,쪼꼬동물메디컬센터,"인천광역시 서구 청중로478번안길 4, 2층 (가정동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,정이룸 동물병원,"인천광역시 서구 원당대로 664, 창신프라자 102호 (당하동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,메이플동물병원,"인천광역시 서구 원당대로 853, 삼정프라자 102호 (원당동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,검단종합 동물병원,"인천광역시 서구 완정로7번길 1, 행복열쇠, 한림빌딩 (마전동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,삼성종합동물병원,"인천광역시 서구 건지로 269, 1층 (석남동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,쿨펫동물병원 이마트검단점,"인천광역시 서구 서곶로 754, 당하 이마트 3층 (당하동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,이카루스 팩토리,"인천광역시 서구 청라에메랄드로 99, 지젤엠청라 지하1층 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,나비빵,"인천광역시 서구 탁옥로97번길 4-2, 은진빌딩 3층 (심곡동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,HMC펫케어,"인천광역시 서구 서곶로369번길 20, 한국상가 201호 (연희동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,스타일독,"인천광역시 서구 단봉로 99, 그리니빌딩 1층 101호 (왕길동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,아지랑양이,"인천광역시 서구 서곶로 870, 1층 (마전동, 한성빌딩)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,마이달링독,"인천광역시 서구 청라에메랄드로102번길 8-18, 청라캐널큐브 8층 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,Beauty in Dog's,인천광역시 서구 대평로 54 (연희동),2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,멍글팩토리,"인천광역시 서구 거북로 12, 2층 (석남동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,서리네펫살롱,"인천광역시 서구 승학로 446, 113호 (검암동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,더 그루밍,"인천광역시 서구 서곶로 788, 홀리랜드 121호 (당하동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,멍's,"인천광역시 서구 보석로18번안길 11, 1층 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,똑똑개세요,"인천광역시 서구 염곡로498번안길 28, 청담프라자 501호 (가정동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,댕댕살롱,인천광역시 서구 청라루비로42번길 6-16 (청라동),2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,제이블랑,인천광역시 서구 푸른로13번길 16 (청라동),2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,The 펫살롱,"인천광역시 서구 푸른로 9, 1층 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,그루멍,"인천광역시 서구 청라에메랄드로 99, 지젤엠청라 B동 006호 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,루이펫살롱,"인천광역시 서구 탁옥로 105, 메인프라자3차 1층 103호 (심곡동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,진현우동물병원,인천광역시 서구 가정로 295 (석남동),2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,더블유동물의료센터,"인천광역시 서구 청라커낼로260번길 27, 청라한신더휴커낼웨이 2층 236~239호 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,하리네쉼터 인천,인천광역시 서구 새오개로111번안길 17 (신현동),2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,디어댕댕,"인천광역시 서구 완정로 208 (금곡동, 검단 우방아이유쉘)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,마이 루,"인천광역시 서구 원당대로839번길 35-1, 근생동 B12호 (원당동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,호텔펫코리아,"인천광역시 서구 원당대로 681, 신성빌딩 3층 302호 (마전동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,댕댕#,"인천광역시 서구 완정로117번길 8, 1층 103호 (왕길동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,몽스파,"인천광역시 서구 중봉대로 587, 홈플러스 인천청라점 지하1층 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,포근하개,"인천광역시 서구 완정로 30, 109~110호 (마전동, 마전 예뜰채)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,주스주스,"인천광역시 서구 장고개로 278, 2층 (가좌동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,단아하개,"인천광역시 서구 검단로 783-1, 101호 (불로동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,돌봐줄개,"인천광역시 서구 탁옥로 21, 영성상가 2층 (심곡동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,어스독 인천점,"인천광역시 서구 원적로 141-8, 2층 (가좌동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,언니네,"인천광역시 서구 탁옥로97번길 4-2, 1층 101호 (심곡동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,베테랑P&K(청라점),"인천광역시 서구 청라한내로100번길 8-28, 청라레이크봄 1층 123-124호 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,허그미,"인천광역시 서구 봉수대로1440번안길 3-2, 1층 102호 (왕길동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,개르메스,"인천광역시 서구 청라커낼로 300, 판매6동 103호 (청라동, 청라센트럴에일린의뜰)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,"아토,사랑스러워","인천광역시 서구 청라한내로161번길 3-3, 4층 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,고양이 이발관,"인천광역시 서구 청라커낼로260번길 27, 청라한신더휴커낼웨이 상가동 209호 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,루키네 애견샵,"인천광역시 서구 심곡로 195, 1층 (연희동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,라임동물병원,"인천광역시 서구 청라라임로 102, 1층 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,오미네커피,"인천광역시 서구 청라루비로 76, 청라 스퀘어7 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,정들개,인천광역시 서구 신석로77번길 16(석남동),2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,잘어울리개,"인천광역시 서구 염곡로498번안길 16-1, 퍼스트프라자 4층 (가정동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,핀 독,"인천광역시 서구 이음5로 70, 새샘프라자 8층 801,802호 (원당동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,핀 독,"인천광역시 서구 이음5로 70, 새샘프라자 8층 801,802호 (원당동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,털로 덮인 친구들 청라점,"인천광역시 서구 담지로86번길 16-28, 하우징스토리 101호 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,티비티 월드,인천광역시 서구 파랑로116번길 3(원창동),2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,주주개린이집,"인천광역시 서구 염곡로498번안길 20-1, 엠에스프라자 3층 (가정동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,바오바오,"인천광역시 서구 청라커낼로260번길 27, 청라한신더휴커낼웨이 205호 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,동물보육원 인천석남지부,"인천광역시 서구 서달로137번길 10, 2층 (석남동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,커뮤니캣,"인천광역시 서구 청라한내로100번길 10, 큐브시그니처 407호 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,슈슈마벨,"인천광역시 서구 새오개로111번안길 27, 해창빌딩 301호 (신현동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,개인공간스토어,"인천광역시 서구 청라한내로100번길 10, 301호 (청라동)",2022-09-05,경제정책과,032-560-1904,
동물위탁관리업,비비나인,"인천광역시 서구 이음대로 388, ABM타워 301호 (원당동)",2022-09-05,경제정책과,032-560-1904,
