구별,동별,사업장명,인허가일자,소재지도로명주소,소재지지번주소,전화번호
분당구,정자동,리젠시약국,2020-12-15,"경기도 성남시 분당구 백현로 100, 정자I'PARK 2층 207-2호 (정자동)",경기도 성남시 분당구 정자동 27 정자I'PARK,
수정구,수진동,서가종로온누리약국,2018-12-06,"경기도 성남시 수정구 수정로 68, 세종빌딩 1층 (수진동)",경기도 성남시 수정구 수진동 2996번지 세종빌딩,031-756-9901
분당구,백현동,시티약국,2018-12-03,"경기도 성남시 분당구 판교역로 152, 3층 (백현동)",경기도 성남시 분당구 백현동 537번지,031-622-7181
분당구,이매동,솔잎약국,2016-09-28,"경기도 성남시 분당구 양현로94번길 19, 106호 (이매동, 새남서울조합상가)",경기도 성남시 분당구 이매동 120-6번지 106호,031-706-6379
분당구,금곡동,태광약국,2016-07-19,"경기도 성남시 분당구 성남대로 168 (금곡동, 미도프라자)",경기도 성남시 분당구 금곡동 158번지,031-715-8870
분당구,정자동,월드약국,2016-06-01,"경기도 성남시 분당구 정자일로 240 (정자동, 월드프라자)",경기도 성남시 분당구 정자동 8-3번지,
수정구,태평동,성남사랑약국,2016-06-01,"경기도 성남시 수정구 수정로 201 (태평동, 신세계쉐덴)",경기도 성남시 수정구 태평동 7336번지,
분당구,정자동,J정약국,2016-04-06,"경기도 성남시 분당구 느티로 16, 102호 (정자동, 젤존타워1)",경기도 성남시 분당구 정자동 17-1번지,031-712-5756
중원구,은행동,삼보약국,2016-03-11,경기도 성남시 중원구 산성대로 522 (은행동),경기도 성남시 중원구 은행동 1560번지,031-748-5750
수정구,양지동,푸른약국,2016-01-25,"경기도 성남시 수정구 산성대로 517 (양지동, 양지주차장)",경기도 성남시 수정구 양지동 534번지,
수정구,양지동,푸른약국,2016-01-19,"경기도 성남시 수정구 산성대로 517 (양지동, 양지주차장)",경기도 성남시 수정구 양지동 535번지,
분당구,서현동,다나약국,2015-10-23,"경기도 성남시 분당구 돌마로476번길 41, 2층 (서현동, 분당빌딩)",경기도 성남시 분당구 서현동 305-3번지,
수정구,신흥동,신흥종로약국,2015-07-13,"경기도 성남시 수정구 산성대로 247, 1층 (신흥동)",경기도 성남시 수정구 신흥동 4223-2번지,031-744-2992
중원구,상대원동,오대문약국,2015-05-28,경기도 성남시 중원구 금상로 53 (상대원동),경기도 성남시 중원구 상대원동 2992-39번지,031-734-8036
분당구,야탑동,함께하는 약국,2015-04-15,"경기도 성남시 분당구 야탑로 64, 1층 (야탑동)",경기도 성남시 분당구 야탑동 502번지,031-702-8484
수정구,수진동,코끼리 약국,2015-03-09,경기도 성남시 수정구 수정로 116 (수진동),경기도 성남시 수정구 수진동 63-1번지,031-755-9810
분당구,서현동,조이온누리약국,2017-11-21,"경기도 성남시 분당구 서현로 184, 212호 (서현동)",경기도 성남시 분당구 서현동 251-3번지 엘지분당에클라트,031-707-9240
수정구,신흥동,미래열린약국,2017-08-28,"경기도 성남시 수정구 산성대로 237-1, 1층 (신흥동)",경기도 성남시 수정구 신흥동 4228번지,
,,새로운약국,2017-08-24,"경기도 성남시 중원구 성남대로 1141, 1층 (성남동, 둔전빌딩)",,
분당구,삼평동,광장약국,2017-08-02,"경기도 성남시 분당구 대왕판교로 670, 122호 (삼평동, 유스페이스2)",경기도 성남시 분당구 삼평동 682번지,031-628-6161
,,우리약국,2017-07-26,"경기도 성남시 수정구 수정로 273 (신흥동, 수정빌딩)",,031-747-8002
중원구,하대원동,필리아약국,2017-07-13,경기도 성남시 중원구 둔촌대로 283 (하대원동),경기도 성남시 중원구 하대원동 132-13번지,031-759-9259
수정구,신흥동,열린온누리약국,2017-06-26,"경기도 성남시 수정구 수정로 174, 1층 (신흥동, 효산빌딩)",경기도 성남시 수정구 신흥동 5521번지,031-756-3600
수정구,창곡동,천사온누리약국,2017-06-20,"경기도 성남시 수정구 위례동로 141, 106호 (창곡동, 우성메디피아)",경기도 성남시 수정구 창곡동 513-3번지,070-4203-7234
수정구,창곡동,위례중앙약국,2017-05-11,"경기도 성남시 수정구 위례광장로 310, A동 104호 (창곡동, 우성트램타워)",경기도 성남시 수정구 창곡동 509-2번지,
분당구,운중동,운중약국,2016-12-07,"경기도 성남시 분당구 운중로 115, 102호 (운중동)",경기도 성남시 분당구 운중동 959번지 102호,031-705-7753
중원구,금광동,명약국,2016-11-14,"경기도 성남시 중원구 산성대로372번길 3, 1층 (금광동)",경기도 성남시 중원구 금광동 4363번지,
분당구,삼평동,럭스온누리약국,2016-10-21,"경기도 성남시 분당구 대왕판교로606번길 39, 105호 (삼평동, 럭스타워)",경기도 성남시 분당구 삼평동 651-105번지,031-8016-1303
중원구,상대원동,중원온누리약국,2016-10-12,"경기도 성남시 중원구 희망로 336, 1층 (상대원동, 금진빌딩)",경기도 성남시 중원구 상대원동 2986-11번지,
분당구,삼평동,판교마트약국,2021-04-20,"경기도 성남시 분당구 대왕판교로606번길 58, 판교푸르지오월드마크 지하1층 약국코너호 (삼평동)",경기도 성남시 분당구 삼평동 741 판교푸르지오월드마크,
중원구,금광동,마이팜약국,2021-04-21,"경기도 성남시 중원구 산성대로476번길 6-1, 1층 (금광동)",경기도 성남시 중원구 금광동 4846,031-742-7202
분당구,금곡동,미금프라자약국,2021-03-30,"경기도 성남시 분당구 돌마로 75, 미금프라자 1층 105호 (금곡동)",경기도 성남시 분당구 금곡동 154 미금프라자,
분당구,서현동,서현봄약국,2021-04-05,"경기도 성남시 분당구 불정로376번길 7, 건일빌딩 2층 202호 (서현동)",경기도 성남시 분당구 서현동 306-3 건일빌딩,
분당구,야탑동,야탑그린약국,2021-02-25,"경기도 성남시 분당구 야탑로81번길 10, 분당아미고타워 307-1호 (야탑동)",경기도 성남시 분당구 야탑동 358-3 분당아미고타워,
분당구,구미동,경민약국,2021-02-17,"경기도 성남시 분당구 돌마로 52, MD프라자 1층 106호 (구미동)",경기도 성남시 분당구 구미동 8-2 MD프라자,
분당구,백현동,나은약국,2021-03-29,"경기도 성남시 분당구 대왕판교로 374, 109호 (백현동)",경기도 성남시 분당구 백현동 472-91,
분당구,정자동,스타파크약국,2020-11-18,"경기도 성남시 분당구 정자일로 121, A-15호 (정자동, 더샵스타파크)",경기도 성남시 분당구 정자동 174-1 더샵스타파크,
중원구,여수동,플러스온누리약국,2020-11-09,"경기도 성남시 중원구 양현로 409, 어반스퀘어 1층 102,103호 (여수동)",경기도 성남시 중원구 여수동 190 어반스퀘어,
수정구,수진동,태평정문약국,2020-10-22,"경기도 성남시 수정구 성남대로1226번길 10 (수진동, 계영캐슬)",경기도 성남시 수정구 수진동 2992 계영캐슬,
수정구,신흥동,삼정시네마약국,2020-10-30,"경기도 성남시 수정구 산성대로 267, 1층 111호 (신흥동)",경기도 성남시 수정구 신흥동 4124,
중원구,금광동,21세기 세계로약국,2020-10-15,"경기도 성남시 중원구 산성대로372번길 14, 동성빌딩 1층 (금광동)",경기도 성남시 중원구 금광동 11,
수정구,창곡동,지니약국,2020-10-13,"경기도 성남시 수정구 헌릉로 993, 더퍼스트메디타워 1층 109,110호 (창곡동)",경기도 성남시 수정구 창곡동 595 더퍼스트메디타워,
분당구,야탑동,분당햇살약국,2020-09-24,"경기도 성남시 분당구 성남대로 912, 분당BYC빌딩 (야탑동)",경기도 성남시 분당구 야탑동 367-1 분당BYC빌딩,031-707-0365
분당구,서현동,대화약국,2020-09-18,"경기도 성남시 분당구 중앙공원로 35, 올림픽스포츠센터 2층 228호 (서현동)",경기도 성남시 분당구 서현동 90 올림픽스포츠센터,
분당구,운중동,이오약국,2020-10-07,"경기도 성남시 분당구 운중로 118, 스타타워 4층 403호 (운중동)",경기도 성남시 분당구 운중동 948 스타타워,
수정구,산성동,행복한약국,2020-09-25,"경기도 성남시 수정구 수정로 348, 수정빌딩 1층 (산성동)",경기도 성남시 수정구 산성동 1434 수정빌딩,
분당구,야탑동,종로이화약국,2020-09-04,"경기도 성남시 분당구 판교로 435, 동양프라자 1층 108호 (야탑동)",경기도 성남시 분당구 야탑동 533-3 동양프라자,
수정구,창곡동,위례미소약국,2020-09-04,"경기도 성남시 수정구 위례광장로 300, 위례중앙역 중앙타워 B40호 (창곡동)",경기도 성남시 수정구 창곡동 509 위례중앙역 중앙타워,
분당구,판교동,판교원약국,2020-09-04,"경기도 성남시 분당구 판교원로 207, 상가동 1층 104호 (판교동, 판교원마을5단지아파트)",경기도 성남시 분당구 판교동 634 판교원마을5단지아파트,
중원구,성남동,모란온누리약국,2020-09-14,"경기도 성남시 중원구 성남대로 1132, 모란역 센트럴스퀘어 1층 104호 (성남동)",경기도 성남시 중원구 성남동 3502 모란역 센트럴스퀘어,
수정구,창곡동,위례광장약국,2018-09-14,"경기도 성남시 수정구 위례광장로 9-9, 위례우남역 퍼스트푸르지오시티 112호 (창곡동)",경기도 성남시 수정구 창곡동 0번지 위례우남역 퍼스트푸르지오시티 112호,031-723-7488
수정구,태평동,비타약국,2004-03-26,경기도 성남시 수정구 남문로 143 (태평동),경기도 성남시 수정구 태평동 2107번지,031-755-3818
수정구,창곡동,나무약국,2004-03-26,"경기도 성남시 수정구 위례동로 135-6, 101호 (창곡동, 이너매스위례)",경기도 성남시 수정구 창곡동 513-7번지,031-751-7990
수정구,복정동,복정동서울약국,2004-03-26,경기도 성남시 수정구 복정로 41 (복정동),경기도 성남시 수정구 복정동 689-9번지,031-759-5398
분당구,금곡동,분당중앙 약국,2004-03-03,"경기도 성남시 분당구 정자일로 25, 103호 (금곡동, 대덕프라자)",경기도 성남시 분당구 금곡동 206번지 대덕프라자 103호,031-719-7874
분당구,금곡동,온누리 길약국,2018-05-28,"경기도 성남시 분당구 돌마로 67, 금산젬월드 115호 (금곡동)",경기도 성남시 분당구 금곡동 157번지 금산젬월드 115호,031-717-0065
분당구,수내동,수내약국,2018-04-18,"경기도 성남시 분당구 내정로166번길 43, 금산프라자빌딩 101호 (수내동)",경기도 성남시 분당구 수내동 63-1번지 금산프라자빌딩 101호,031-729-5852
중원구,성남동,자연약국,2018-04-06,"경기도 성남시 중원구 제일로 37, 신명빌딩 1층 (성남동)",경기도 성남시 중원구 성남동 3788번지 신명빌딩,031-3219-1449
분당구,판교동,판교한솔약국,2018-04-05,"경기도 성남시 분당구 운중로 233, 한솔프라자 103호 (판교동)",경기도 성남시 분당구 판교동 621-2번지 한솔프라자 103호,
수정구,태평동,우리약국,2004-06-21,경기도 성남시 수정구 수정로 161 (태평동),경기도 성남시 수정구 태평동 3425-2번지,031-753-9421
수정구,창곡동,위례수동물약국,2017-12-18,"경기도 성남시 수정구 위례서일로 18, 더존메디컬타워 1층 (창곡동)",경기도 성남시 수정구 창곡동 559-4번지,
분당구,금곡동,임약국,2014-06-10,"경기도 성남시 분당구 성남대로 170, 301호 (금곡동, 한국프라자)",경기도 성남시 분당구 금곡동 159번지 한국프라자,031-716-3444
분당구,판교동,판교기린약국,2014-05-20,"경기도 성남시 분당구 운중로 242, 107호 (판교동)",경기도 성남시 분당구 판교동 625번지,070-4232-6326
분당구,정자동,십자약국,2014-02-19,경기도 성남시 분당구 느티로87번길 13 (정자동),경기도 성남시 분당구 정자동 59-7번지,031-716-9006
중원구,금광동,명약국,2014-02-07,경기도 성남시 중원구 산성대로372번길 3 (금광동),경기도 성남시 중원구 금광동 4363번지,031-747-5333
수정구,태평동,태평로약국,2013-08-29,경기도 성남시 수정구 제일로180번길 3 (태평동),경기도 성남시 수정구 태평동 3734번지,031-721-5790
분당구,서현동,하나로약국,2013-08-29,"경기도 성남시 분당구 황새울로360번길 28, 112호 (서현동)",경기도 성남시 분당구 서현동 247-4번지 112호,031-8017-7582
수정구,수진동,삼부약국,2013-08-28,경기도 성남시 수정구 성남대로1221번길 11 (수진동),경기도 성남시 수정구 수진동 4567-10번지,031-722-4573
수정구,신흥동,두리온누리약국,2013-08-28,"경기도 성남시 수정구 공원로 322, 1층 105호 (신흥동, 신동아파라디움)",경기도 성남시 수정구 신흥동 2465-7번지 신동아파라디움1층 105호,031-741-1480
분당구,판교동,판교수빈약국,2013-11-07,"경기도 성남시 분당구 운중로 235, 103호 (판교동, 나래메디플러스)",경기도 성남시 분당구 판교동,070-8227-7582
중원구,금광동,광명로약국,2013-11-06,"경기도 성남시 중원구 광명로 327, 1층 (금광동)",경기도 성남시 중원구 금광동 3699번지,070-4193-5800
분당구,서현동,분당새봄약국,2013-11-04,"경기도 성남시 분당구 중앙공원로40번길 4, 202-2호 (서현동)",경기도 성남시 분당구 서현동 93번지 202-2호,031-701-3007
중원구,은행동,하나로약국,2013-08-29,"경기도 성남시 중원구 산성대로 526, 다동 1층 2·3호 (은행동, 은행시장 )",경기도 성남시 중원구 은행동 1553번지 은행시장 1층 다동 2·3호,031-732-1082
중원구,금광동,전승완약국,2013-08-26,"경기도 성남시 중원구 광명로 372, 1층 (금광동)",경기도 성남시 중원구 금광동 1798번지,031-734-6041
중원구,상대원동,밝은온누리약국,2013-08-26,경기도 성남시 중원구 금상로 6 (상대원동),경기도 성남시 중원구 상대원동 2980-24번지,031-732-0456
분당구,금곡동,새분당서울약국,2013-08-26,"경기도 성남시 분당구 돌마로 75, 106호 (금곡동, 미금프라자)",경기도 성남시 분당구 금곡동 154번지 미금프라자 106호,031-714-7975
중원구,중앙동,밝은약국,2013-08-26,경기도 성남시 중원구 산성대로 348-1 (중앙동),경기도 성남시 중원구 중앙동 140번지,031-744-9044
수정구,태평동,명성약국,2013-08-26,"경기도 성남시 수정구 수정로 205 (태평동, 선운빌딩1층)",경기도 성남시 수정구 태평동 7338번지 선운빌딩1층,
분당구,이매동,한라약국,2013-08-26,"경기도 성남시 분당구 이매로 51, 102호 (이매동, 한라프라자)",경기도 성남시 분당구 이매동 115-5번지 한라프라자 102호,031-704-9826
분당구,수내동,다정약국,2013-08-26,"경기도 성남시 분당구 내정로 172, 1층 103호 (수내동, 상지상가)",경기도 성남시 분당구 수내동 58-2번지,
분당구,서현동,분당백제약국,2013-08-26,경기도 성남시 분당구 서현로180번길 19 (서현동),경기도 성남시 분당구 서현동 256번지,031-701-3005
분당구,정자동,조은약국,2013-08-26,"경기도 성남시 분당구 느티로 27, 106호 (정자동, 하나프라자빌딩 )",경기도 성남시 분당구 정자동 15-7번지 하나프라자빌딩 106호,031-713-0073
중원구,상대원동,밝은온누리약국,2018-06-15,경기도 성남시 중원구 금상로 6 (상대원동),경기도 성남시 중원구 상대원동 2980-24번지,031-732-0456
분당구,삼평동,봇들약국,2018-06-15,"경기도 성남시 분당구 판교로 376, 마크시티 퍼플 5층 (삼평동)",경기도 성남시 분당구 삼평동 719번지 마크시티 퍼플,031-8017-3039
수정구,산성동,신중앙메디칼약국,2006-03-03,경기도 성남시 수정구 수정남로 297 (산성동),경기도 성남시 수정구 산성동 1364번지,
분당구,정자동,금곡프라자 약국,2006-01-20,"경기도 성남시 분당구 내정로 29, 102호 (정자동, 금곡프라자)",경기도 성남시 분당구 정자동 127-1번지 금곡프라자 102호,031-717-1333
분당구,정자동,천지온누리 약국,2005-03-28,"경기도 성남시 분당구 내정로113번길 4 (정자동, 정자프라자 1층)",경기도 성남시 분당구 정자동 54-1번지 정자프라자 1층,031-711-8280
분당구,운중동,옵티마우리들약국,2013-08-26,"경기도 성남시 분당구 운중로 140, 107호 (운중동, 메트로골드)",경기도 성남시 분당구 운중동 941번지 메트로골드 107호,031-704-3445
분당구,수내동,웰빙약국,2013-08-26,"경기도 성남시 분당구 백현로 97, 1층 108호 (수내동, 다운타운)",경기도 성남시 분당구 수내동 22-3번지 다운타운1층 108호,031-717-8778
분당구,야탑동,한약국,2013-08-12,"경기도 성남시 분당구 판교로 700, 110호 (야탑동, 분당테크노파크상가동)",경기도 성남시 분당구 야탑동 151번지 분당테크노파크상가동 110호,031-704-0738
중원구,성남동,모란중앙약국,2013-07-18,경기도 성남시 중원구 성남대로 1149 (성남동),경기도 성남시 중원구 성남동 4159번지,031-757-3188
분당구,야탑동,사랑메디칼약국,2013-07-18,"경기도 성남시 분당구 장미로 198 (야탑동, 아델파크빌 B106-1, 2)",경기도 성남시 분당구 야탑동 219-1번지,031-701-2592
분당구,서현동,분당경희 한약 약국,2012-07-18,"경기도 성남시 분당구 중앙공원로31번길 42, 121호 (서현동)",경기도 성남시 분당구 서현동 89번지,
분당구,삼평동,판교조은약국,2012-06-27,"경기도 성남시 분당구 대왕판교로606번길 39, 105호 (삼평동, 럭스타워)",경기도 성남시 분당구 삼평동 651번지 럭스타워 105호,
분당구,삼평동,판교온누리약국,2011-02-10,"경기도 성남시 분당구 판교로 375, 106호 (삼평동,에메트타운)",경기도 성남시 분당구 삼평동 708번지 에메트타운 106호,
분당구,수내동,새계로약국,2010-04-15,"경기도 성남시 분당구 수내로46번길 33 (수내동,화동빌딩 1층)",경기도 성남시 분당구 수내동 13-3번지 화동빌딩 1층,031-719-0461
수정구,신흥동,태평양약국,2013-08-26,경기도 성남시 수정구 수정로 174 (신흥동),경기도 성남시 수정구 신흥동 5521번지,031-753-8020
중원구,성남동,메디컬중앙약국,2013-08-26,경기도 성남시 중원구 광명로 17 (성남동),경기도 성남시 중원구 성남동 3187번지,031-752-1531
분당구,야탑동,탑마을약국,2013-08-29,"경기도 성남시 분당구 성남대로916번길 20, A동 108호 (야탑동, 노블리치상가)",경기도 성남시 분당구 야탑동 367-5번지 노블리치상가 A동 108호,031-703-5773
중원구,중앙동,이화약국,2013-08-29,"경기도 성남시 중원구 산성대로 354, 1층 (중앙동, 태성빌딩)",경기도 성남시 중원구 중앙동 73번지 태성빌딩,031-734-1214
분당구,서현동,메디팜우정약국,2013-08-07,경기도 성남시 분당구 서현로210번길 2 (서현동),경기도 성남시 분당구 서현동 245-3번지,031-8016-3793
중원구,성남동,중원종로약국,2013-08-01,경기도 성남시 중원구 둔촌대로 163 (성남동),경기도 성남시 중원구 성남동 3790번지,031-752-7843
중원구,금광동,유니동물약국,2013-07-30,경기도 성남시 중원구 광명로 359 (금광동),경기도 성남시 중원구 금광동 3125번지,031-731-3888
수정구,신흥동,유자약국,2013-07-24,"경기도 성남시 수정구 공원로 322, 2층 225호 (신흥동, 신동아파라디움)",경기도 성남시 수정구 신흥동 2465-7번지 신동아파라디움 225호,031-748-0221
분당구,수내동,우주약국,2013-06-24,"경기도 성남시 분당구 내정로 170, 303호 (수내동, 동신파크빌딩)",경기도 성남시 분당구 수내동,031-717-1015
수정구,단대동,여명약국,2013-06-17,경기도 성남시 수정구 산성대로 435 (단대동),경기도 성남시 수정구 단대동 97-1번지,
분당구,야탑동,그린탑약국,2013-05-28,"경기도 성남시 분당구 성남대로 934, 102호 (야탑동, 궁전프라자)",경기도 성남시 분당구 야탑동 360-4번지 궁전프라자 102호,031-8016-5515
분당구,서현동,분당백화점약국,2012-11-26,"경기도 성남시 분당구 서현로210번길 17, 106호 (서현동, 광림프라자)",경기도 성남시 분당구 서현동 247-5번지 광림프라자 106호,031-701-2231
분당구,서현동,풍림약국,2004-06-21,"경기도 성남시 분당구 서현로 170, 237호 (서현동, 풍림아이원)",경기도 성남시 분당구 서현동 255-1번지 풍림아이원 237호,031-783-6783
분당구,구미동,성빈약국,2004-05-11,"경기도 성남시 분당구 미금로 48, 302호 (구미동, 오성플라자)",경기도 성남시 분당구 구미동 205-1번지 오성프라자 302호,031-719-0936
분당구,야탑동,메트로 약국,2004-05-11,"경기도 성남시 분당구 성남대로 926, 110호 (야탑동, 메트로빌딩 )",경기도 성남시 분당구 야탑동 360-6번지 메트로빌딩 110호,031-708-1238
분당구,분당동,삼보당약국,2013-08-29,"경기도 성남시 분당구 분당로263번길 24, 101호 (분당동, 건영아파트11차 종합상가)",경기도 성남시 분당구 분당동 66번지 건영아파트11차종합상가 101호,031-701-4927
중원구,은행동,신신약국,2013-08-29,경기도 성남시 중원구 산성대로 496 (은행동),경기도 성남시 중원구 은행동 1634번지,031-743-3748
분당구,정자동,분당수약국,2013-08-28,"경기도 성남시 분당구 정자로 13, 108호 (정자동, 월드비터)",경기도 성남시 분당구 정자동 155-2번지 월드비터 108호,031-719-6600
수정구,수진동,코끼리약국,2013-08-28,"경기도 성남시 수정구 수정로 112, 1층 (수진동, 충지빌딩)",경기도 성남시 수정구 수진동 51번지 충지빌딩1층,031-755-9810
중원구,중앙동,김약국,2004-04-23,경기도 성남시 중원구 광명로 183-1 (중앙동),경기도 성남시 중원구 중앙동 1093번지,031-734-2835
분당구,정자동,바른약국,2004-04-13,"경기도 성남시 분당구 정자로 143, 104호 (정자동,한솔마을 상가)",경기도 성남시 분당구 정자동 111번지 한솔마을 상가 104호,031-714-6171
중원구,금광동,수인약국,2013-08-27,"경기도 성남시 중원구 광명로 347, 1층 (금광동, 형제빌딩)",경기도 성남시 중원구 금광동 3652번지 형제빌딩 1층,031-734-0713
수정구,산성동,보건약국,2013-08-27,경기도 성남시 수정구 희망로 522 (산성동),경기도 성남시 수정구 산성동 2196번지,031-736-4222
중원구,금광동,중앙약국,2013-08-27,경기도 성남시 중원구 산성대로472번길 8-1 (금광동),경기도 성남시 중원구 금광동 4835번지,031-733-8579
분당구,수내동,온누리중앙약국,2013-08-27,경기도 성남시 분당구 돌마로366번길 42 (수내동),경기도 성남시 분당구 수내동 83-1번지,031-714-5507
수정구,수진동,연세약국,2005-02-04,경기도 성남시 수정구 수정로 106 (수진동),경기도 성남시 수정구 수진동 55번지,031-757-9996
분당구,서현동,서현종로약국,2005-01-18,"경기도 성남시 분당구 서현로 204, 102호 (서현동, 엘지에클리트)",경기도 성남시 분당구 서현동 245-4번지 엘지에클리트 102호,031-781-9991
중원구,중앙동,종로약국,2004-09-03,경기도 성남시 중원구 시민로 116 (중앙동),경기도 성남시 중원구 중앙동 1370번지,031-742-1515
분당구,삼평동,판교이화자연약국,2015-01-07,경기도 성남시 분당구 판교역로192번길 16 (삼평동),경기도 성남시 분당구 삼평동 662번지,031-8016-8285
수정구,산성동,새강약국,2015-01-07,경기도 성남시 수정구 수정남로324번길 2 (산성동),경기도 성남시 수정구 산성동 402번지,031-747-4655
분당구,정자동,늘푸른약국,2014-09-29,"경기도 성남시 분당구 성남대로331번길 3-13, 308호 (정자동, 대명제스트빌딩)",경기도 성남시 분당구 정자동 156-3번지,031-717-7092
중원구,상대원동,성남메디칼약국,2014-07-11,경기도 성남시 중원구 희망로 335 (상대원동),경기도 성남시 중원구 상대원동 4401번지,
분당구,야탑동,비타민약국,2021-04-30,"경기도 성남시 분당구 벌말로 35, 대명빌딩 1층 (야탑동)",경기도 성남시 분당구 야탑동 274-2 대명빌딩,
분당구,수내동,셀메드 드림약국,2021-05-20,"경기도 성남시 분당구 돌마로356번길 3, 그랜드빌딩 4층 (수내동)",경기도 성남시 분당구 수내동 79-1 그랜드빌딩 4동,031-719-1069
수정구,태평동,시민약국,2021-05-03,"경기도 성남시 수정구 수정로171번길 11, 1층 (태평동)",경기도 성남시 수정구 태평동 3405,031-759-6700
수정구,태평동,메디칼왕약국,2020-09-01,"경기도 성남시 수정구 수정북로13번길 2, 1층 (태평동)",경기도 성남시 수정구 태평동 6417,
중원구,하대원동,벧엘온누리약국,2020-08-21,"경기도 성남시 중원구 둔촌대로 277, 1층 (하대원동)",경기도 성남시 중원구 하대원동 131-18,
중원구,중앙동,스타약국,2020-07-22,"경기도 성남시 중원구 산성대로 352, 1층 102호 (중앙동)",경기도 성남시 중원구 중앙동 83 102호,
수정구,수진동,SR새힘약국,2020-07-20,"경기도 성남시 수정구 수정로 106, SR프라자 1층 115호 (수진동)",경기도 성남시 수정구 수진동 56 SR프라자 115호,
수정구,태평동,대학온누리약국,2020-08-10,"경기도 성남시 수정구 시민로205번길 28, 1층 (태평동)",경기도 성남시 수정구 태평동 3307-155,
분당구,구미동,분당메디칼약국,2020-07-09,"경기도 성남시 분당구 돌마로 68, 분당프라자 1층 112,113호 (구미동)",경기도 성남시 분당구 구미동 23-1 분당프라자,
수정구,신흥동,샤론약국,2018-08-08,경기도 성남시 수정구 탄리로52번길 13 (신흥동),경기도 성남시 수정구 신흥동 5897번지,031-757-4011
분당구,야탑동,옵티마나무약국,2018-08-07,"경기도 성남시 분당구 성남대로926번길 12, 금탑프라자 109호 (야탑동)",경기도 성남시 분당구 야탑동 361-3번지 금탑프라자 109호,031-709-7279
중원구,은행동,성남스마일약국,2018-08-31,"경기도 성남시 중원구 산성대로 526, 은행시장 2층 2호 (은행동)",경기도 성남시 중원구 은행동 1553번지 은행시장 2층 2호,
분당구,야탑동,분당시민의약국,2018-08-23,"경기도 성남시 분당구 야탑로65번길 6, 대우빌딩 1층 B10호 (야탑동)",경기도 성남시 분당구 야탑동 354-5번지 대우빌딩,031-703-9374
중원구,금광동,메디칼 약국,2020-05-28,경기도 성남시 중원구 자혜로 60 (금광동),경기도 성남시 중원구 금광동 2854번지,
분당구,삼평동,판교범약국,2020-05-12,"경기도 성남시 분당구 대왕판교로606번길 58, 판교푸르지오월드마크 1층 1-89호 (삼평동)",경기도 성남시 분당구 삼평동 741번지 판교푸르지오월드마크,
