종류(RFID),축종,품종,소유정보,승인일,관리기관,전화번호,데이터기준일자
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,풍산견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,풍산견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,라브라도 리트리버,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,사망,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,사망,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,비글,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,포메라니안,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,슈나우져,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,슈나우져,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,사망,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,사망,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2019-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,포메라니안,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,골든 리트리버,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,포메라니안,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,골든 리트리버,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,푸들,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,웰시 코기 펨브로크,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,웰시 코기 펨브로크,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,웰시 코기 펨브로크,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,웰시 코기 펨브로크,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,그레이트 피레니즈,분실,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-09-03,평창군청,033-330-1358,2022-09-19
삽입형,개,믹스견,소유,2019-09-08,평창군청,033-330-1358,2022-09-19
삽입형,개,웰시 코기 펨브로크,소유,2019-09-09,평창군청,033-330-1358,2022-09-19
인식표,개,웰시 코기 펨브로크,소유,2019-09-16,평창군청,033-330-1358,2022-09-19
외장형,개,보더 콜리,소유,2019-09-16,평창군청,033-330-1358,2022-09-19
삽입형,개,믹스견,소유,2019-09-20,평창군청,033-330-1358,2022-09-19
삽입형,개,말티즈,소유,2019-09-23,평창군청,033-330-1358,2022-09-19
인식표,개,푸들,소유,2019-09-27,평창군청,033-330-1358,2022-09-19
삽입형,개,진도견,소유,2019-10-11,평창군청,033-330-1358,2022-09-19
삽입형,개,아메리칸 핏불 테리어,소유,2019-10-20,평창군청,033-330-1358,2022-09-19
삽입형,개,말티즈,사망,2019-10-20,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2019-10-21,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-10-21,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-10-21,평창군청,033-330-1358,2022-09-19
삽입형,개,치와와,사망,2019-10-28,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2019-11-20,평창군청,033-330-1358,2022-09-19
외장형,개,시츄,소유,2019-11-20,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,사망,2019-11-22,평창군청,033-330-1358,2022-09-19
인식표,개,슈나우져,사망,2019-11-22,평창군청,033-330-1358,2022-09-19
삽입형,개,슈나우져,소유,2020-01-22,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2020-01-22,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2020-01-22,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2020-01-31,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2020-01-31,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2020-01-31,평창군청,033-330-1358,2022-09-19
외장형,개,라브라도 리트리버,소유,2020-02-03,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2020-03-05,평창군청,033-330-1358,2022-09-19
외장형,개,기타,소유,2020-03-16,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2020-04-08,평창군청,033-330-1358,2022-09-19
삽입형,개,진도견,소유,2020-04-08,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2020-04-09,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2020-04-09,평창군청,033-330-1358,2022-09-19
외장형,개,풍산견,소유,2020-05-22,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2020-06-24,평창군청,033-330-1358,2022-09-19
삽입형,개,믹스견,소유,2020-06-25,평창군청,033-330-1358,2022-09-19
삽입형,개,진도견,소유,2020-08-31,평창군청,033-330-1358,2022-09-19
인식표,개,라브라도 리트리버,소유,2020-08-31,평창군청,033-330-1358,2022-09-19
외장형,개,알라스칸 말라뮤트,소유,2020-09-14,평창군청,033-330-1358,2022-09-19
삽입형,개,라브라도 리트리버,소유,2020-12-16,평창군청,033-330-1358,2022-09-19
삽입형,개,로트와일러,소유,2021-02-22,평창군청,033-330-1358,2022-09-19
삽입형,개,로트와일러,사망,2021-02-22,평창군청,033-330-1358,2022-09-19
삽입형,개,믹스견,소유,2021-04-01,평창군청,033-330-1358,2022-09-19
삽입형,개,믹스견,소유,2021-04-01,평창군청,033-330-1358,2022-09-19
삽입형,개,골든 리트리버,사망,2021-04-30,평창군청,033-330-1358,2022-09-19
삽입형,개,믹스견,소유,2021-08-10,평창군청,033-330-1358,2022-09-19
외장형,개,푸들,소유,2021-08-11,평창군청,033-330-1358,2022-09-19
삽입형,개,진도견,소유,2021-08-11,평창군청,033-330-1358,2022-09-19
삽입형,개,진도견,소유,2021-08-11,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-08-11,평창군청,033-330-1358,2022-09-19
외장형,개,토이 푸들,소유,2021-08-11,평창군청,033-330-1358,2022-09-19
외장형,개,잭 러셀 테리어,소유,2021-08-11,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-08-11,평창군청,033-330-1358,2022-09-19
외장형,개,라브라도 리트리버,소유,2021-08-11,평창군청,033-330-1358,2022-09-19
외장형,개,풍산견,소유,2021-08-11,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2021-08-11,평창군청,033-330-1358,2022-09-19
외장형,개,라브라도 리트리버,소유,2021-08-11,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2021-08-11,평창군청,033-330-1358,2022-09-19
외장형,개,포메라니안,소유,2021-08-11,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2021-08-24,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2021-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,라브라도 리트리버,소유,2021-08-30,평창군청,033-330-1358,2022-09-19
외장형,개,퍼그,소유,2021-09-01,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-09-01,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2021-09-04,평창군청,033-330-1358,2022-09-19
외장형,개,라브라도 리트리버,소유,2021-09-04,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-09-08,평창군청,033-330-1358,2022-09-19
삽입형,개,믹스견,소유,2021-09-11,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-09-13,평창군청,033-330-1358,2022-09-19
외장형,개,포메라니안,소유,2021-09-13,평창군청,033-330-1358,2022-09-19
외장형,개,치와와,소유,2021-09-13,평창군청,033-330-1358,2022-09-19
외장형,개,포메라니안,소유,2021-09-13,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2021-09-13,평창군청,033-330-1358,2022-09-19
외장형,개,포메라니안,소유,2021-09-13,평창군청,033-330-1358,2022-09-19
외장형,개,포메라니안,소유,2021-09-13,평창군청,033-330-1358,2022-09-19
외장형,개,말티즈,소유,2021-09-13,평창군청,033-330-1358,2022-09-19
외장형,개,미니어쳐 핀셔,소유,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,사망,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,골든 리트리버,소유,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,기타,소유,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,믹스견,소유,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,포메라니안,소유,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,진도견,소유,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,치와와,소유,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,알라스칸 말라뮤트,소유,2021-09-17,평창군청,033-330-1358,2022-09-19
외장형,개,시바,소유,2021-09-20,평창군청,033-330-1358,2022-09-19
